Topic,Count,Name,Representation,Representative_Docs
0,3232,0_ontlasting_buikpijn_slijm_toilet,"['ontlasting', 'buikpijn', 'slijm', 'toilet', 'bloed', 'buik', 'veel', 'darmen', 'last', 'diarree']",
1,830,1_uitslag_uitslagen_bekend_binnen,"['uitslag', 'uitslagen', 'bekend', 'binnen', 'resultaten', 'hiervan', 'al', 'zijn', 'jullie', 'de']",
2,756,2_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'gaan', 'moet', 'te', 'om', 'heb']",
3,727,3_telefonisch_bellen_bereikbaar_contact,"['telefonisch', 'bellen', 'bereikbaar', 'contact', 'telefoonnummer', 'id', 'nummer', 'mij', 'bereiken', 'opnemen']",
4,621,4_ontlasting_bloed_prikken_ingeleverd,"['ontlasting', 'bloed', 'prikken', 'ingeleverd', 'inleveren', 'laten', 'bloedprikken', 'en', 'geprikt', 'leveren']",
5,617,5_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'gebruik', 'injectie', 'weken', 'adalimumab', 'de', 'gespoten']",
6,908,6_iets_dit_hier_is,"['iets', 'dit', 'hier', 'is', 'doen', 'of', 'kan', 'moet', 'mee', 'bekend']",
7,509,7_calprotectine_calpro_waarde_test,"['calprotectine', 'calpro', 'waarde', 'test', 'thuistest', 'uitslag', 'gedaan', 'crp', 'bekend', 'de']",
8,556,8_crohn_ziekte_colitis_ulcerosa,"['crohn', 'ziekte', 'colitis', 'ulcerosa', 'van', 'of', 'dit', 'met', 'ibd', 'de']",
9,511,9_infuus_infusiecentrum_infusen_infusie,"['infuus', 'infusiecentrum', 'infusen', 'infusie', 'volgende', 'na', 'weken', 'het', 'mijn', 'week']",
10,775,10_medicatie_medicijnen_medicijn_of,"['medicatie', 'medicijnen', 'medicijn', 'of', 'met', 'over', 'dit', 'kan', 'gebruik', 'te']",
11,415,11_prednison_prednisolon_mg_afgebouwd,"['prednison', 'prednisolon', 'mg', 'afgebouwd', 'afbouwen', 'afbouwschema', 'met', '20', '20mg', 'gebruik']",
12,466,12_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'thuis', 'doen', 'zelftest', 'thuistesten', 'nieuwe', 'heb']",
13,374,13_endoscopie_coloscopie_colonscopie_gepland,"['endoscopie', 'coloscopie', 'colonscopie', 'gepland', 'een', 'gastroscopie', 'gehad', 'colonoscopie', 'datum', 'afspraak']",
14,510,14_koorts_hoofdpijn_38_keel,"['koorts', 'hoofdpijn', '38', 'keel', 'hoesten', '37', 'keelpijn', 'last', 'verhoging', 'griep']",
15,318,15_fijne_weekend_feestdagen_fijn,"['fijne', 'weekend', 'feestdagen', 'fijn', 'alvast', 'gewenst', 'groet', 'dag', 'wensen', 'wens']",
16,410,16_spuit_spuiten_injectie_zetten,"['spuit', 'spuiten', 'injectie', 'zetten', 'gezet', 'weken', 'injecties', 'moet', 'volgende', 'maandag']",
17,349,17_b12_ijzer_vitamine_ijzerinfuus,"['b12', 'ijzer', 'vitamine', 'ijzerinfuus', 'hb', 'foliumzuur', 'laag', 'ijzergehalte', 'tekort', 'vit']",
18,503,18_gebeld_helaas_bellen_telefoon,"['gebeld', 'helaas', 'bellen', 'telefoon', 'niet', 'contact', 'was', 'telefonisch', 'gemist', 'maar']",
19,489,19_pijn_last_gewrichten_veel,"['pijn', 'last', 'gewrichten', 'veel', 'pijnlijk', 'rug', 'handen', 'mijn', 'doet', 'erger']",
20,454,20_apotheek_locatie_recept_naar,"['apotheek', 'locatie', 'recept', 'naar', 'sturen', 'faxen', 'doorsturen', 'kunnen', 'nieuw', 'jullie']",
