Count_mpnet,Name_mpnet,Top 5 words_mpnet,Count_robbert,Name_robbert,Top 5 words_robbert,Count_qwen3,Name_qwen3,Top 5 words_qwen3
2903,0_bloed_prikken_bloedprikken_ontlasting,"bloed, prikken, bloedprikken, ontlasting, laten",1447,0_ontlasting_ingeleverd_inleveren_bloed,"ontlasting, ingeleverd, inleveren, bloed, prikken",813,0_uitslagen_uitslag_resultaten_bekend,"uitslagen, uitslag, resultaten, bekend, hiervan"
2208,1_medicatie_prednisolon_tabletten_medicijnen,"medicatie, prednisolon, tabletten, medicijnen, medicijn",1332,1_bellen_bereikbaar_telefonisch_gebeld,"bellen, bereikbaar, telefonisch, gebeld, contact",806,6_huisarts_arts_dokter_contact,"huisarts, arts, dokter, contact, mdl"
1235,2_arts_huisarts_dokter_mdl,"arts, huisarts, dokter, mdl, ziekenhuis",1097,2_apotheek_recept_sturen_locatie,"apotheek, recept, sturen, locatie, faxen",736,1_bereikbaar_bellen_telefonisch_telefoonnummer,"bereikbaar, bellen, telefonisch, telefoonnummer, contact"
608,3_pijn_gewrichten_benen_pijnlijk,"pijn, gewrichten, benen, pijnlijk, rug",854,3_afspraak_staan_verzetten_gepland,"afspraak, staan, verzetten, gepland, afspraken",705,9_medicatie_medicijn_medicijnen_medicijngebruik,"medicatie, medicijn, medicijnen, medicijngebruik, starten"
596,14_buik_buikpijn_darmen_darm,"buik, buikpijn, darmen, darm, maag",851,6_huisarts_dokter_arts_medische,"huisarts, dokter, arts, medische, contact",598,2_humira_spuiten_zetten_spuit,"humira, spuiten, zetten, spuit, adalimumab"
545,4_test_thuistest_testen_zelftest,"test, thuistest, testen, zelftest, gedaan",717,8_medicatie_medicijnen_medicijn_stoppen,"medicatie, medicijnen, medicijn, stoppen, kuur",594,3_ingeleverd_inleveren_prikken_ontlasting,"ingeleverd, inleveren, prikken, ontlasting, bloed"
506,7_telefoonnummer_bellen_telefonisch_nummer,"telefoonnummer, bellen, telefonisch, nummer, bereikbaar",673,5_prikken_bloed_bloedprikken_laten,"prikken, bloed, bloedprikken, laten, geprikt",561,11_gebeld_gemist_helaas_telefonisch,"gebeld, gemist, helaas, telefonisch, telefoon"
505,9_dun_waterig_ontlasting_soms,"dun, waterig, ontlasting, soms, stukjes",602,4_humira_spuiten_spuit_zetten,"humira, spuiten, spuit, zetten, injectie",554,5_crohn_ziekte_colitis_ulcerosa,"crohn, ziekte, colitis, ulcerosa, colitus"
466,17_huis_buisje_thuis_potje,"huis, buisje, thuis, potje, zakjes",572,16_mail_ontvangen_gestuurd_sturen,"mail, ontvangen, gestuurd, sturen, verstuurd",528,4_infuus_infusiecentrum_infusen_infusie,"infuus, infusiecentrum, infusen, infusie, volgende"
450,5_humira_spuiten_spuit_zetten,"humira, spuiten, spuit, zetten, gespoten",519,7_bloeduitslagen_bloeduitslag_bloedwaarden_bloedwaardes,"bloeduitslagen, bloeduitslag, bloedwaarden, bloedwaardes, uitslagen",523,26_afspraak_staan_gepland_staat,"afspraak, staan, gepland, staat, belafspraak"
