Topic,Count,Name,Representation,Representative_Docs
-1,13321,-1_afspraak_graag_contact_datum,"['afspraak', 'graag', 'contact', 'datum', 'hoor', 'infuus', 'krijg', 'hoop', 'gaat', 'mail']","['Beste [PERSOON],  Is het ook mogelijk om de ontlasting mee te nemen naar het infuus?', 'Geachte heer, mevrouw,  Sinds zaterdag 27-02 krijg ik een mail dat er een nieuwe sessie voor mij klaar staat, maar er staat helemaal niets voor mij klaar.', 'Bij de controle vorige keer bij [PERSOON] werd afgesproken om de Budenofalk om de dag te gaan gebruiken en indien het goed ging terug naar drie keer per week.']"
0,2880,0_bloed_prikken_bloedprikken_ontlasting,"['bloed', 'prikken', 'bloedprikken', 'ontlasting', 'laten', 'bloeduitslagen', 'ingeleverd', 'geprikt', 'inleveren', 'slijm']","['[PERSOON],  Ik heb afgelopen donderdag bloed laten prikken.', 'Ok, dan ga ik deze week nog bloed laten prikken.', 'Ik zal in februari van 2018 mijn bloed laten prikken.']"
1,1832,1_buikpijn_darmen_diarree_buik,"['buikpijn', 'darmen', 'diarree', 'buik', 'darm', 'darmonderzoek', 'last', 'maag', 'diaree', 'pijn']","['Ik heb weer last van mijn darmen.', 'De afgelopen week heb ik steeds meer last van buikpijn.', 'Ik heb diarree, vaak ontlasting, redelijk veel tot veel buikpijn en bloed bij de ontlasting.']"
2,1095,2_huisarts_dokter_arts_mdl,"['huisarts', 'dokter', 'arts', 'mdl', 'ziekenhuis', 'verpleegkundige', 'medische', 'contact', 'afspraak', 'behandeling']","['Ik zal een afspraak bij de huisarts maken.', 'Van de huisarts moet ik contact opnemen met mijn mdl arts dokter [PERSOON] omdat de huisarts niet weet of dr [PERSOON] nog andere onderzoeken wilt doen en of ik hiervoor medicatie mag ivm de crohn.', 'Bij de huisarts of in het ziekenhuis?']"
3,707,3_apotheek_locatie_recept_sturen,"['apotheek', 'locatie', 'recept', 'sturen', 'ophalen', 'zorginstelling', 'nieuw', 'doorsturen', 'recepten', 'faxen']","['Graag recept naar apotheek Céramique [LOCATIE].', 'Mijn apotheek is de [APOTHEEK] De [LOCATIE].', 'Mijn apotheek is apotheek [LOCATIE].']"
4,655,4_medicatie_medicijn_medicijnen_bijwerkingen,"['medicatie', 'medicijn', 'medicijnen', 'bijwerkingen', 'zetpillen', 'bijwerking', 'medicijngebruik', 'gebruik', 'stoppen', 'dosering']","['Nu vraag ik me af of het met de medicatie te maken kan hebben.', 'Deze medicijn kon ik gebruiken samen met mijn andere medicatie.', 'Moet ik dit vóór of na de medicatie doen?']"
5,560,5_pijn_gewrichten_benen_handen,"['pijn', 'gewrichten', 'benen', 'handen', 'rug', 'pijnlijk', 'linker', 'last', 'onderrug', 'onderbuik']","['Ik heb wel nog steeds redelijk wat pijn op sommige dagen en dan ook redelijk wat ontlasting.', 'Pijn is al wat minder.', 'Zijn hier andere pijn stilling voor ?']"
6,532,6_toilet_vaker_rennen_keer,"['toilet', 'vaker', 'rennen', 'keer', 'toiletbezoek', 'slijm', 'gemiddeld', 'nacht', 'buikpijn', 'gaan']","['Maar ik heb veel last van buikpijn, vaak naar de toilet en ik ga niet iedere keer naar de toilet toe als ik moet.', 'Meestal maar 1x per dag naar toilet.', 'Ik ga weer iets minder naar het toilet.']"
7,517,7_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuis', 'thuistesten', 'ontlastingtest', 'uitvoeren', 'zelftesten']","['Zal de test doen.', 'Of moet ik de zelf test doen?', 'Wanneer moet ik z’n test doen?']"
8,498,8_calprotectine_calpro_thuistest_waarde,"['calprotectine', 'calpro', 'thuistest', 'waarde', 'test', 'uitslag', 'bekend', 'gedaan', 'gemeten', 'meten']","['Hallo, is de uitslag van het bloed en de calprotectine  van 18 april jl.', 'Calprotectine was 48.', 'Beste meneer, mevrouw,  Is de uitslag van de calprotectine al binnen?']"
