Topic,Count,Name,Representation,Representative_Docs,Label,Category
-1,193,-1_interpreteren_azethoprine_tc_nl,"['interpreteren', 'azethoprine', 'tc', 'nl', 'ok', 'wachtenden', 'vakjes', 'toetsen', 'slank', 'rusteloosheid']","['Is er iets wat ik kan doen?', 'Is er iets wat ik kan doen?', 'Is er iets wat ik kan doen?']",,
0,5766,0_bedankt_dank_hoor_reactie,"['bedankt', 'dank', 'hoor', 'reactie', 'hoor graag', 'alvast', 'graag', 'snelle', 'snelle reactie', 'bericht']","['Alvast bedankt voor uw reactie.', 'en bedankt voor de reactie,', 'Alvast bedankt voor jullie reactie.']",,
1,5173,1_afspraak_contact_telefonisch_poli,"['afspraak', 'contact', 'telefonisch', 'poli', 'gepland', 'vakantie', 'bellen', 'uur', 'vandaag', 'morgen']","['Op  staat er een afspraak gepland met .', 'Maandag a.s. heb ik een afspraak met .', 'Ook nog niet een afspraak.']",,
2,4738,2_bloed_ontlasting_prikken_bloed laten,"['bloed', 'ontlasting', 'prikken', 'bloed laten', 'laten prikken', 'laten', 'test', 'bloed ontlasting', 'slijm', 'bloedprikken']","['Afgelopen vrijdag heb ik bloed laten prikken en ontlasting ingeleverd.', 'Ik heb slijm en bloed bij en na de ontlasting.', 'Is goed..ik zal bloed laten prikken en ontlasting inleveren.']",,
3,4204,3_weken_week_goed_voel,"['weken', 'week', 'goed', 'voel', 'gaat', 'beter', 'vorige', 'klachten', 'jaar', 'vorige week']","['Met de klachten gaat het goed.', 'Het gaat niet zo goed met mij.', 'Dat is over 4 weken.']",,
4,4089,4_pijn_dagen_dag_buikpijn,"['pijn', 'dagen', 'dag', 'buikpijn', 'last', 'toilet', 'crohn', 'buik', 'keer', 'ontlasting']","['Ik ga ook gemiddeld meer dan 4x per dag naar het toilet en het is altijd met bloedverlies en pijn.', 'Sinds enkele dagen heb ik meer pijn in mijn buik.', 'maar ik heb tot nu toe nog steeds last van buikpijn en pijn aan mijn maag als ik het goed heb .. nu is de vraag is dat normaal of niet .']",,
5,3555,5_weet_advies_graag_mee,"['weet', 'advies', 'graag', 'mee', 'beste', 'probleem', 'graag advies', 'weten', 'helpen', 'zie']","['Ik weet niet wat te doen.', 'Ik weet niet wat te doen.', 'Ik weet nu even niet goed wat ik moet doen.']",,
6,3517,6_medicatie_gebruik_mg_humira,"['medicatie', 'gebruik', 'mg', 'humira', 'apotheek', 'gebruiken', 'tabletten', 'medicijnen', 'recept', 'antibiotica']","['Met mijn nieuwe voorraad prednison moet ik volgens schema nog maar 20 mg per dag, ik zat t/m dinsdag op 40 mg. ik vraag me af of dit wel klopt', 'Afgelopen vrijdag heb ik de prednisolon afgebouwd van 7,5 naar 5 mg. Komende vrijdag is het bedoeling dat ik naar 2,5 mg per dag ga. De arts wilde ook dat ik ontlasting zou inleveren om de calprotectine te bepalen en dat heb ik donderdag afgegeven, maar die uitslag zal waarschijnlijk nog niet bekend zijn.', 'Ik heb nu alleen nog een paar pillen van 30 mg dus afbouwen gaat ook niet omdat ik geen meer heb van 5 mg. Ik hoor graag van u wat de volgende stap is.']",,
7,2489,7_recept_apotheek_nieuw_nieuw recept,"['recept', 'apotheek', 'nieuw', 'nieuw recept', 'sturen', 'herhaalrecept', 'graag', 'maanden', 'mg', 'zorginstelling']","['Kunnen jullie nog een recept sturen naar de apotheek?', 'een nieuw recept naar de apotheek sturen.', 'Graag nieuw recept naar apotheek .']",,
8,1526,8_huisarts_arts_dokter_dermatoloog,"['huisarts', 'arts', 'dokter', 'dermatoloog', 'mdl', 'ziekenhuis', 'mdl arts', 'afspraak', 'huid', 'dermatologie']","['Wel gaf de huisarts het advies dit met de MDL arts te overleggen of er eventueel andere mogelijkheden zijn omdat ik er al lange tijd op en aan last van heb.', 'Ik kan wel met mijn klachten naar de huisarts gaan maar kom uiteindelijk toch weer terecht bij de MDL arts.', 'Van de huisarts moet ik contact opnemen met mijn mdl arts dokter  omdat de huisarts niet weet of dr  nog andere onderzoeken wilt doen en of ik hiervoor medicatie mag ivm de crohn.']",,
9,1258,9_ontvangen_formulieren_mail_formulier,"['ontvangen', 'formulieren', 'mail', 'formulier', 'brief', 'bericht', 'adres', 'potje', 'post', 'sturen']","['Ik heb de formulieren ontvangen.', 'Ik heb de formulieren ontvangen.', 'Ik heb de formulieren ontvangen.']",,
10,1008,10_zorgen_stress_idee_denk,"['zorgen', 'stress', 'idee', 'denk', 'echt', 'klachten', 'gaat', 'tijd', 'vind', 'afspraken']","['Ik maak me er wat zorgen over.', 'Ik maak me er wat zorgen over.', 'Ik maak me er wat zorgen over.']",,
11,774,11_bekend_uitslag_calprotectine_spiegel,"['bekend', 'uitslag', 'calprotectine', 'spiegel', 'uitslagen', 'uitslag ontlasting', 'bekend uitslag', 'resultaten', 'uitslag bekend', 'waarde']","['Is de uitslag van de ontlasting al bekend?', 'Is de uitslag van de ontlasting al bekend?', 'Is de uitslag van de ontlasting al bekend?']",,
12,701,12_corona_vaccin_vaccinatie_positief,"['corona', 'vaccin', 'vaccinatie', 'positief', 'getest', 'virus', 'covid', 'positief getest', 'biologicals', 'coronavirus']","['Ik ben net positief getest op corona, ik heb maandag een afspraak voor mijn infuus.', 'Ik ben positief getest op corona.', 'Ik ben positief getest op corona.']",,
13,682,13_vraag_vragen_vraagje_vraag vraag,"['vraag', 'vragen', 'vraagje', 'vraag vraag', 'aantal', 'geregeld', 'aantal vragen', 'daarnaast', 'ingepland', 'vragen vraag']","['Ik heb een vraag.', 'Ik heb nog een vraag.', 'ik heb nog een vraag.']",,
14,547,14_eten_eet_drinken_eetlust,"['eten', 'eet', 'drinken', 'eetlust', 'drink', 'kilo', 'gewicht', 'water', 'misselijk', 'kg']","['Wat mag ik wel/ niet eten?', 'ook na het eten.', 'Dat ben ik nu aan het eten en probeer verder ook gewoon normaal te eten.']",,
15,480,15_mri_onderzoek_scan_mri scan,"['mri', 'onderzoek', 'scan', 'mri scan', 'uitslag', 'uitslag mri', 'darmkanker', 'bevolkingsonderzoek', 'horen', 'darm']","['Er staat wel nog een MRi scan gepland op .', 'vandaag heb ik een MRI-scan gehad.', 'Uitslag mri scan.']",,
16,340,16_bereikbaar_geboortedatum_graag herhaal_herhaal recept,"['bereikbaar', 'geboortedatum', 'graag herhaal', 'herhaal recept', 'nummer', 'herhaal', 'medewerking', 'gegevens', 'geb', 'recept aanvragen']","['Ik ben telefonisch bereikbaar op [ID].', 'Ik ben bereikbaar op [ID]', 'Ik ben bereikbaar op [ID]']",,
17,281,17_bijwerking_medicatie_combinatie_allergische,"['bijwerking', 'medicatie', 'combinatie', 'allergische', 'bijwerkingen', 'allergische reactie', 'nieuwe medicatie', 'gebruik medicatie', 'moment gebruik', 'half']","['Is dit een bijwerking van het infuus?', 'Is dit een bijwerking van het infuus?', 'Toch ook de vraag of dit een bijwerking van het infuus kan zijn.']",,
18,202,18_zwanger_zwangerschap_weken zwanger_weken,"['zwanger', 'zwangerschap', 'weken zwanger', 'weken', 'borstvoeding', 'morgen weken', 'weet', 'gynaecoloog', 'baby', 'positieve']","['Ben nu 4-5 weken zwanger.', 'Ben nu 4-5 weken zwanger.', 'Ben nu 4-5 weken zwanger.']",,
19,197,19_operatie_verzekering_aanvraag_behandeling,"['operatie', 'verzekering', 'aanvraag', 'behandeling', 'medische', 'gegevens', 'chirurg', 'team', 'ibd team', 'medische gegevens']","['of  afgelopen maandag mijn operatie gehad.', 'Graag zou ik nu weten wat dat voor een operatie zou zijn.', 'en  ivm een operatie.']",,
20,152,20_snel_snel mogelijk_duidelijkheid_mogelijk,"['snel', 'snel mogelijk', 'duidelijkheid', 'mogelijk', 'hoop', 'lange', 'lange tijd', 'antwoord', 'hoop snel', 'snel antwoord']","['Dit doen ze zo snel mogelijk.', 'Hoop dat het snel is.', 'Graag zo snel mogelijk.']",,
21,148,21_ziekenhuis_kom_ziekenhuis komen_komen,"['ziekenhuis', 'kom', 'ziekenhuis komen', 'komen', 'doorverwezen', 'ziekenhuis ziekenhuis', 'ziekenhuis kom', 'uur ziekenhuis', 'desnoods', 'blijf']","['Dit is in het ziekenhuis in  geweest.', 'Ik heb dit niet in het [ZIEKENHUIS] gedaan maar in het [ZIEKENHUIS] in .', 'Moet ik dan naar het ziekenhuis.']",,
22,118,22_werk_werken_ivm werk_werk gaat,"['werk', 'werken', 'ivm werk', 'werk gaat', 'gesloten', 'ivm', 'gaan', 'werk werk', 'werk gaan', 'universiteit']","['In combinatie met mijn werk, is dit niet te doen.', 'Ben aan het werk maar wel ook aan de telefoon.', 'Met het werk op dat moment.']",,
23,112,23_slaap_wakker_bed_slapen,"['slaap', 'wakker', 'bed', 'slapen', 'moe', 'warm', 'geslapen', 'waardoor', 'constant', 'zet']","[""Als ik 's nachts wakker wordt kom ik lastig in slaap door de pijn."", 'Ik heb ff vraagje sinds paar dage voel k me nie zo lkkr k heb raar gevoel in mun hoofd by mun ogen en af en toe aan mun oren en als k poets ben k kortademig wat k normaal nie ben heb wel astma ma dat is onder controle en by poetse heb k dat normaal totaal nie ook ben k heel erg moe heb gister van 16 tot 19u geslapen en normaal na bed gegaan om 23u voorheen werd k altijd om half 4 wakker om te plassen ook dit gebeurt nie meer is dat normaal kan dat allemaal aan de humira ligge?', 'Als ik nog wakker ben als het begint kan ik het nog onderdrukken met paracetamol  maar ik ben als ik er wakker van word neem ik oxycodon, omdat ik dan weer sneller door kan slapen maar ook omdat die steken dan zo veel pijn/ misselijkheid gevoel geven dat paracetamol niet meer helpt.']",,
24,109,24_app_downloaden_telefoon_app downloaden,"['app', 'downloaden', 'telefoon', 'app downloaden', 'ondersteund', 'link', 'werkt', 'app werkt', 'website', 'telefoons']","['Ik probeerde ook de Quanton Cal app te downloaden, maar de app opende niet omdat het besturingssysteem van mijn telefoon de app niet ondersteunt.', 'ik heb geen app op mijn telefoon', ""Ik heb zo'n app (nog) niet.....?""]",,
