Topic,Count,Name,Representation,Representative_Docs
-1,193,-1_topper_doen_bent_iets,"['topper', 'doen', 'bent', 'iets', 'binnen', 'kan', 'regeling', 'interpreteren', 'ja', 'azethoprine']","['Wil jij haar er nu nog eens opnieuw naar vragen en mij het dan laten weten?', 'heer, mevrouw,  Graag wil ik een nieuw recept voor de Humira aanvragen.', 'Of zou ik medicijnen voor een week bij kunnen krijgen?/een normaal herhaalrecept?']"
0,3646,0_bloed_prikken_ontlasting_laten,"['bloed', 'prikken', 'ontlasting', 'laten', 'slijm', 'bloedprikken', 'ingeleverd', 'bloeduitslagen', 'geprikt', 'inleveren']","['Ik heb inderdaad bloed laten prikken in het .', 'Ik heb afgelopen donderdag bloed laten prikken.', 'Ik heb afgelopen vrijdag bloed laten prikken.']"
1,1884,1_afspraak_uur_september_juli,"['afspraak', 'uur', 'september', 'juli', 'november', 'maart', 'gepland', 'augustus', 'juni', 'januari']","['17/2 is n poli afspraak weer gepland.', 'De afspraak is gepland op maandag 8 april a.s. om 12.00 uur.', 'Deze is gepland op donderdag  om 14.10 uur.']"
2,969,2_medicatie_medicijnen_medicijn_apotheek,"['medicatie', 'medicijnen', 'medicijn', 'apotheek', 'recept', 'gebruik', 'andere', 'voorbereiding', 'geen', 'tabletten']","['Mag niet kagen, en dat zonder medicatie.', 'Moet ik dit vóór of na de medicatie doen?', 'Ik vroeg me af of dit met de medicatie te maken heeft?']"
3,778,3_pijn_buikpijn_hoofdpijn_pijnlijk,"['pijn', 'buikpijn', 'hoofdpijn', 'pijnlijk', 'veel', 'buik', 'pijnlijke', 'last', 'doet', 'erg']","['Ik heb omzettend veel pijn gehad.', 'Dit is ondoenlijk van wege de pijn!', 'De pijn is wat minder.']"
4,651,4_test_testen_proberen_gedaan,"['test', 'testen', 'proberen', 'gedaan', 'geprobeerd', 'zelftest', 'thuis', 'calprotectine', 'doen', 'nieuwe']","['Ik heb nog een test.', '1x te veel, dus verprutste test.', 'j scande de test niet.']"
5,662,5_brief_ontvangen_bericht_mail,"['brief', 'ontvangen', 'bericht', 'mail', 'formulieren', 'post', 'berichtje', 'potje', 'papieren', 'geen']","['Tot op hebben heb ik geen brief mogen ontvangen.', 'brief ontvangen.', 'Ik heb de brief m.tb.t.']"
6,697,6_recept_apotheek_sturen_nieuw,"['recept', 'apotheek', 'sturen', 'nieuw', 'naar', 'kunnen', 'zouden', 'kunt', 'herhaalrecept', 'faxen']","['Als het mag en mogelijk is, zouden jullie dan een nieuw recept naar apotheek  willen sturen?', 'Zouden jullie een nieuw recept naar mijn apotheek in  willen sturen?', 'Zou u voor mij een nieuw recept naar mijn apotheek kunnen sturen?']"
7,408,7_vaccin_vaccinatie_virus_corona,"['vaccin', 'vaccinatie', 'virus', 'corona', 'coronavirus', 'vaccinaties', 'covid', 'vaccineren', 'pfizer', 'mensen']","['corona vaccinatie.', 'Ik had een vraag over de vaccinatie van corona.', 'Hoe is dat voor het corona vaccin?']"
8,475,8_voel_gevoel_voelt_me,"['voel', 'gevoel', 'voelt', 'me', 'slecht', 'voelen', 'goed', 'lekker', 'gevoelig', 'buik']","['Ik voel mij niet goed.', 'Verder voel ik me goed!', 'Verder voel ik mij goed !']"
