Topic,Count,Name,Representation,Representative_Docs
0,1447,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'leveren', 'uitslag', 'laten', 'buisje', 'bloedprikken']",
1,1332,1_bellen_bereikbaar_telefonisch_gebeld,"['bellen', 'bereikbaar', 'telefonisch', 'gebeld', 'contact', 'belafspraak', 'telefoon', 'telefonische', 'nummer', 'telefoonnummer']",
2,1097,2_apotheek_recept_sturen_locatie,"['apotheek', 'recept', 'sturen', 'locatie', 'faxen', 'nieuw', 'recepten', 'herhaalrecept', 'ophalen', 'doorsturen']",
3,854,3_afspraak_staan_verzetten_gepland,"['afspraak', 'staan', 'verzetten', 'gepland', 'afspraken', 'plannen', 'agenda', 'annuleren', 'nieuwe', 'gemaakt']",
4,602,4_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'injectie', 'gespoten', 'gebruik', 'spiegel', 'prik', 'injecties']",
5,673,5_prikken_bloed_bloedprikken_laten,"['prikken', 'bloed', 'bloedprikken', 'laten', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'bloedafname']",
6,851,6_huisarts_dokter_arts_medische,"['huisarts', 'dokter', 'arts', 'medische', 'contact', 'afspraak', 'behandelend', 'huisartsenpost', 'bespreken', 'doktersverklaring']",
7,519,7_bloeduitslagen_bloeduitslag_bloedwaarden_bloedwaardes,"['bloeduitslagen', 'bloeduitslag', 'bloedwaarden', 'bloedwaardes', 'uitslagen', 'bekend', 'bloedonderzoek', 'bloed', 'uitslag', 'benieuwd']",
8,717,8_medicatie_medicijnen_medicijn_stoppen,"['medicatie', 'medicijnen', 'medicijn', 'stoppen', 'kuur', 'starten', 'medicijngebruik', 'nieuwe', 'gebruiken', 'gebruik']",
9,513,9_ontlasting_dunne_dun_waterige,"['ontlasting', 'dunne', 'dun', 'waterige', 'stoelgang', 'aandrang', 'vaste', 'hard', 'soms', 'waterdun']",
10,476,10_uitslag_resultaten_hiervan_bekend,"['uitslag', 'resultaten', 'hiervan', 'bekend', 'daarvan', 'resultaat', 'benieuwd', 'weten', 'duurt', 'wachten']",
11,446,11_test_thuistest_testen_thuistesten,"['test', 'thuistest', 'testen', 'thuistesten', 'zelftest', 'gedaan', 'thuis', 'uitvoeren', 'negatief', 'nieuwe']",
12,400,12_prednison_prednisolon_afgebouwd_afbouwschema,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwschema', 'afbouwen', 'starten', 'gestart', 'slikken', 'gebruik', 'slik']",
13,437,13_formulieren_formulier_potje_papieren,"['formulieren', 'formulier', 'potje', 'papieren', 'toestemmingsformulier', 'toestemming', 'toesturen', 'opsturen', 'potjes', 'pdf']",
14,427,14_infuus_infuuscentrum_volgende_gepland,"['infuus', 'infuuscentrum', 'volgende', 'gepland', 'toegediend', 'biological', 'dagcentrum', 'aanstaande', 'krijg', 'krijgen']",
15,411,15_klachten_verergerd_verminderd_erger,"['klachten', 'verergerd', 'verminderd', 'erger', 'toenemen', 'verbeterd', 'verminderen', 'verergeren', 'contact', 'klachtenvrij']",
16,572,16_mail_ontvangen_gestuurd_sturen,"['mail', 'ontvangen', 'gestuurd', 'sturen', 'verstuurd', 'post', 'bericht', 'email', 'versturen', 'verzonden']",
17,350,17_crohn_ziekte_bechterew_reuma,"['crohn', 'ziekte', 'bechterew', 'reuma', 'rustig', 'combinatie', 'gerelateerd', 'ontstekingen', 'medicatie', 'verklaring']",
18,356,18_poli_afspraak_polie_poliafspraak,"['poli', 'afspraak', 'polie', 'poliafspraak', 'interne', 'polibezoek', 'bezoek', 'plannen', 'datum', 'bellen']",
19,437,19_alvast_bedankt_moeite_hartelijk,"['alvast', 'bedankt', 'moeite', 'hartelijk', 'dank', 'dankjewel', 'vriendelijk', 'much', 'hulp', 'thank']",
20,512,20_datum_middag_gepland_laat,"['datum', 'middag', 'gepland', 'laat', 'ochtend', 'half', 'tijdstip', 'prima', 'the', 'school']",
21,283,21_vraag_vraagje_vragen_vraagjes,"['vraag', 'vraagje', 'vragen', 'vraagjes', 'tweetal', 'daarnaast', 'vandaar', 'aantal', 'navragen', 'stellen']",
22,325,22_darmen_darm_darmklachten_dikke,"['darmen', 'darm', 'darmklachten', 'dikke', 'rustig', 'last', 'slokdarm', 'onrustig', 'darmproblemen', 'laatste']",
23,299,23_operatie_chirurg_geopereerd_chirurgie,"['operatie', 'chirurg', 'geopereerd', 'chirurgie', 'anesthesist', 'anesthesie', 'opereren', 'narcose', 'gesprek', 'plaatsvinden']",
24,244,24_purinethol_puri_nethol_nieuw,"['purinethol', 'puri', 'nethol', 'nieuw', 'recept', 'herhaalrecept', 'allopurinol', 'aanvragen', 'herhaal', 'bestellen']",
25,240,25_ibd_ibdcoach_periodieke_gezondheidscheck,"['ibd', 'ibdcoach', 'periodieke', 'gezondheidscheck', 'check', 'vragenlijst', 'vullen', 'invullen', 'team', 'ingevuld']",
26,228,26_uitslagen_bekend_hiervan_doorgefaxt,"['uitslagen', 'bekend', 'hiervan', 'doorgefaxt', 'inzien', 'horen', 'zien', 'blij', 'goed', 'vertellen']",
27,262,27_vakantie_vertrek_nederland_reizen,"['vakantie', 'vertrek', 'nederland', 'reizen', 'zuid', 'afrika', 'terug', 'rijden', 'griekenland', 'camping']",
28,292,28_hiermee_hieraan_mee_weet,"['hiermee', 'hieraan', 'mee', 'weet', 'ermee', 'ondernemen', 'oplossing', 'eraan', 'belangrijker', 'rekening']",
29,306,29_buik_onderbuik_pijn_bovenbuik,"['buik', 'onderbuik', 'pijn', 'bovenbuik', 'opgezette', 'maag', 'navel', 'links', 'gevoel', 'last']",
30,273,30_spuit_spuiten_zetten_vloeistof,"['spuit', 'spuiten', 'zetten', 'vloeistof', 'gezet', 'gespoten', 'zet', 'druppels', 'blood', 'drain']",
31,352,31_beter_gaat_slechter_rustig,"['beter', 'gaat', 'slechter', 'rustig', 'vanzelf', 'ging', 'erger', 'geworden', 'begint', 'rustiger']",
32,268,32_waardes_waarde_waarden_hoog,"['waardes', 'waarde', 'waarden', 'hoog', 'gemeten', 'norm', 'gedaald', 'laag', 'verhoogd', 'gestegen']",
33,290,33_beste_bericht_dank_bedankt,"['beste', 'bericht', 'dank', 'bedankt', 'heer', 'geachte', 'reactie', 'hartelijk', 'uitleg', 'informatie']",
34,209,34_pentasa_granulaat_korrels_pentaza,"['pentasa', 'granulaat', 'korrels', 'pentaza', 'zetpillen', 'gram', 'sachet', 'recept', 'herhaalrecept', 'compact']",
35,264,35_vaccinatie_vaccin_vaccinaties_covid,"['vaccinatie', 'vaccin', 'vaccinaties', 'covid', 'vaccineren', 'gevaccineerd', 'pfizer', 'astrazeneca', 'mensen', 'immuunsysteem']",
36,354,36_geregeld_klopt_probleem_bedoeling,"['geregeld', 'klopt', 'probleem', 'bedoeling', 'verkeerd', 'verstandig', 'gebruiken', 'optie', 'verantwoord', 'nodig']",
37,242,37_toilet_vaker_plassen_gemiddeld,"['toilet', 'vaker', 'plassen', 'gemiddeld', 'toiletbezoeken', 'keer', 'aandrang', 'rennen', 'dringend', 'nacht']",
38,335,38_lang_jaar_maanden_duurt,"['lang', 'jaar', 'maanden', 'duurt', 'wachten', 'duren', 'interval', 'minuten', 'leeftijd', 'maand']",
39,388,39_wacht_hoop_afwachten_wachten,"['wacht', 'hoop', 'afwachten', 'wachten', 'hopelijk', 'vervolgstappen', 'snel', 'kijken', 'stappen', 'aankijken']",
40,239,40_fijne_feestdagen_weekend_gewenst,"['fijne', 'feestdagen', 'weekend', 'gewenst', 'wensen', 'alvast', 'groet', 'wens', 'fijn', 'gezond']",
41,243,41_pijn_pijnlijk_zenuwpijn_erger,"['pijn', 'pijnlijk', 'zenuwpijn', 'erger', 'lopen', 'heftig', 'verga', 'zitten', 'voelt', 'liggen']",
42,230,42_bloed_ontlasting_helder_zit,"['bloed', 'ontlasting', 'helder', 'zit', 'rood', 'soms', 'donker', 'gevonden', 'erbij', 'stoelgang']",
43,193,43_endoscopie_afdeling_gepland_ingepland,"['endoscopie', 'afdeling', 'gepland', 'ingepland', 'voorbereiding', 'plaatsvinden', 'staat', 'anesthesie', 'datum', 'afspraak']",
44,250,44_vriendelijke_groet_alvast_voorbaat,"['vriendelijke', 'groet', 'alvast', 'voorbaat', 'groeten', 'dank', 'bedankt', 'hartelijk', 'mvrgr', 'dankjewel']",
45,290,45_hoi_bericht_hallo_dankjewel,"['hoi', 'bericht', 'hallo', 'dankjewel', 'fijn', 'bedankt', 'prima', 'dank', 'info', 'groetjes']",
46,248,46_formulieren_formulier_bloedafname_prikken,"['formulieren', 'formulier', 'bloedafname', 'prikken', 'bloedprik', 'papieren', 'bloedprikken', 'bloed', 'bloedprikformulieren', 'richtdatum']",
47,206,47_koorts_griep_verkoudheid_ziek,"['koorts', 'griep', 'verkoudheid', 'ziek', 'verkouden', 'verhoging', 'grieperig', 'lichte', 'hoofdpijn', 'verschijnselen']",
48,232,48_eten_eet_gegeten_voeding,"['eten', 'eet', 'gegeten', 'voeding', 'brood', 'voedsel', 'drinken', 'voedingsmiddelen', 'vloeibaar', 'avondeten']",
49,272,49_voel_slecht_voelde_echt,"['voel', 'slecht', 'voelde', 'echt', 'lekker', 'moedeloos', 'voelen', 'beter', 'goed', 'serieus']",
50,248,50_buikpijn_maagklachten_last_ontzettende,"['buikpijn', 'maagklachten', 'last', 'ontzettende', 'buikpijnklachten', 'misselijk', 'erge', 'avond', 'misselijkheid', 'buik']",
51,172,51_klysma_klysmas_schuimklysma_klisma,"['klysma', 'klysmas', 'schuimklysma', 'klisma', 'gebruikt', 'budenofalk', 'gebruiken', 'salofalk', 'clisma', 'proberen']",
52,211,52_zwanger_zwangerschap_bevallen_zwangerschapstest,"['zwanger', 'zwangerschap', 'bevallen', 'zwangerschapstest', 'miskraam', 'baby', 'ongesteld', 'dochter', 'kinderwens', 'geboren']",
53,209,53_darmonderzoek_darm_maagonderzoek_onderzoek,"['darmonderzoek', 'darm', 'maagonderzoek', 'onderzoek', 'dikke', 'darmspecialist', 'maag', 'darmen', 'gepland', 'geopereerd']",
54,204,54_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'antibioticum', 'infectie', 'voorgeschreven', 'gekregen', 'doxycycline']",
55,162,55_ijzer_ijzerinfuus_ijzergehalte_ijzertekort,"['ijzer', 'ijzerinfuus', 'ijzergehalte', 'ijzertekort', 'laag', 'tekort', 'ijzertabletten', 'infuus', 'gehalte', 'magnesium']",
56,172,56_slijm_soms_dun_bloed,"['slijm', 'soms', 'dun', 'bloed', 'afvegen', 'waterig', 'slijmbeursontsteking', 'normaal', 'hard', 'bloedverlies']",
57,234,57_gewrichten_handen_vingers_arm,"['gewrichten', 'handen', 'vingers', 'arm', 'pijn', 'benen', 'stijfheid', 'spierpijn', 'last', 'voet']",
58,164,58_vitamine_vitamines_vit_doorsturen,"['vitamine', 'vitamines', 'vit', 'doorsturen', 'vitaminen', 'spuit', 'injecties', 'laag', 'injectie', 'spuiten']",
59,199,59_bloedverlies_bloed_bloedingen_helder,"['bloedverlies', 'bloed', 'bloedingen', 'helder', 'verlies', 'rood', 'zat', 'spoortje', 'erbij', 'kleur']",
60,182,60_slijm_ontlasting_bloed_zit,"['slijm', 'ontlasting', 'bloed', 'zit', 'soms', 'spoortje', 'diarree', 'dunne', 'prop', 'pus']",
61,157,61_paracetamol_tramadol_amitriptyline_helpt,"['paracetamol', 'tramadol', 'amitriptyline', 'helpt', 'ibuprofen', 'onderdrukken', 'arcoxia', 'pijn', 'slik', 'gepakt']",
62,179,62_apotheek_locatie_zorginstelling_telefoonnummer,"['apotheek', 'locatie', 'zorginstelling', 'telefoonnummer', 'fax', 'emailadres', 'gegevens', 'margraten', 'provincie', 'naam']",
63,148,63_reactie_antwoord_bedankt_dank,"['reactie', 'antwoord', 'bedankt', 'dank', 'dankjewel', 'hartelijk', 'antwoorden', 'toelichting', 'oke', 'alvast']",
64,155,64_coloscopie_colonscopie_gastroscopie_ondergaan,"['coloscopie', 'colonscopie', 'gastroscopie', 'ondergaan', 'gepland', 'colonosc', 'chromo', 'beelden', 'biopten', 'sigmoidoscopie']",
65,161,65_advies_adviseren_tips_graag,"['advies', 'adviseren', 'tips', 'graag', 'adviezen', 'raden', 'raad', 'hiermee', 'geven', 'adviseert']",
66,162,66_hoor_mvg_groet_vriendelijke,"['hoor', 'mvg', 'groet', 'vriendelijke', 'groetjes', 'graag', 'horen', 'groeten', 'hartelijke', 'hoop']",
67,163,67_gebeld_persoonlijk_mogelijkheden_gesprek,"['gebeld', 'persoonlijk', 'mogelijkheden', 'gesprek', 'bellen', 'spreken', 'vragen', 'belt', 'aanbod', 'bespreken']",
68,152,68_zetpillen_pillen_herhaal_gebruiken,"['zetpillen', 'pillen', 'herhaal', 'gebruiken', 'herhaalrecept', 'gebruik', 'gestopt', 'anticonceptiepil', 'recept', 'doosje']",
69,221,69_werk_werken_werkgever_thuis,"['werk', 'werken', 'werkgever', 'thuis', 'stage', 'school', 'onderwijs', 'baan', 'uren', 'diensten']",
70,163,70_keel_hoesten_keelpijn_neus,"['keel', 'hoesten', 'keelpijn', 'neus', 'hoest', 'oor', 'keelontsteking', 'oorontsteking', 'oren', 'droge']",
71,160,71_lab_chemie_labformulieren_biologicals,"['lab', 'chemie', 'labformulieren', 'biologicals', 'klinische', 'formulieren', 'labbriefjes', 'biological', 'bureau', 'labformulier']",
72,197,72_moe_energie_vermoeid_voel,"['moe', 'energie', 'vermoeid', 'voel', 'merk', 'ziek', 'extreem', 'uitgeput', 'energielevel', 'doodmoe']",
73,161,73_calprotectine_thuistest_test_gedaan,"['calprotectine', 'thuistest', 'test', 'gedaan', 'bepalen', 'zelftest', 'meten', 'testen', 'uitvoeren', 'waarde']",
74,200,74_gaat_goed_gelukkig_prima,"['gaat', 'goed', 'gelukkig', 'prima', 'kant', 'rest', 'orde', 'ging', 'goede', 'gegaan']",
75,215,75_ziekenhuis_opgenomen_ontslagen_ambulance,"['ziekenhuis', 'opgenomen', 'ontslagen', 'ambulance', 'komen', 'locatie', 'verpleegkundigen', 'hulp', 'spoedeisende', 'lig']",
76,127,76_hoor_graag_kim_her,"['hoor', 'graag', 'kim', 'her', 'weten', 'groetjes', 'mail', 'snelle', 'terug', 'sturen']",
77,155,77_onderzoek_meedoen_onderzoeken_studie,"['onderzoek', 'meedoen', 'onderzoeken', 'studie', 'roesje', 'akkoord', 'mee', 'toestemming', 'ontlastingsonderzoek', 'plaats']",
78,122,78_dermatoloog_dermatologie_doorverwijzing_verwijzing,"['dermatoloog', 'dermatologie', 'doorverwijzing', 'verwijzing', 'verwijsbrief', 'doorverwezen', 'kalknagels', 'vervolgafspraak', 'langsgaan', 'huid']",
79,130,79_kilo_gewicht_afgevallen_weeg,"['kilo', 'gewicht', 'afgevallen', 'weeg', 'gewichtsverlies', 'afvallen', 'woog', 'verliezen', 'roken', 'weegt']",
80,143,80_huid_gezicht_jeuk_acne,"['huid', 'gezicht', 'jeuk', 'acne', 'vlekken', 'droge', 'rode', 'jeukende', 'benen', 'huiduitslag']",
81,180,81_brief_ontvangen_briefjes_handtekening,"['brief', 'ontvangen', 'briefjes', 'handtekening', 'briefje', 'bijgevoegde', 'stempel', 'voorzien', 'brieven', 'post']",
82,130,82_thiosix_herhaalrecept_calcium_uitschrijven,"['thiosix', 'herhaalrecept', 'calcium', 'uitschrijven', 'nieuw', 'recept', 'apotheek', 'tabletten', 'kauwtabletten', 'kauwtablet']",
83,216,83_consult_telefonisch_spreekuur_telefonische,"['consult', 'telefonisch', 'spreekuur', 'telefonische', 'internist', 'plannen', 'gesprek', 'contact', 'afspraak', 'omzetten']",
84,120,84_quanton_cal_quantoncal_app,"['quanton', 'cal', 'quantoncal', 'app', 'test', 'code', 'competentiecentrum', 'scannen', 'telefoon', 'patientcode']",
85,147,85_bericht_berichtje_update_bedankt,"['bericht', 'berichtje', 'update', 'bedankt', 'dank', 'dankjewel', 'reaktie', 'terugkoppeling', 'mededeling', 'okay']",
86,121,86_cortiment_afbouwen_stoppen_beclometason,"['cortiment', 'afbouwen', 'stoppen', 'beclometason', 'slik', 'verbetering', 'starten', 'citalopram', 'slikken', 'onderste']",
87,169,87_esomeprazol_omeprazol_daags_calci,"['esomeprazol', 'omeprazol', 'daags', 'calci', 'chew', 'pantoprazol', 'stuks', 'capsules', 'tablet', 'loperamide']",
88,147,88_hoor_graag_horen_hoop,"['hoor', 'graag', 'horen', 'hoop', 'bvd', 'gaarne', 'vernemen', 'hoort', 'marjo', 'julllie']",
89,147,89_slaap_slapen_wakker_bed,"['slaap', 'slapen', 'wakker', 'bed', 'geslapen', 'nachtrust', 'nachten', 'vannacht', 'nacht', 'doorslapen']",
90,114,90_mri_scan_uitslag_datum,"['mri', 'scan', 'uitslag', 'datum', 'gepland', 'gemaakt', 'plaats', 'dunne', 'ingepland', 'nek']",
91,164,91_oorzaak_reden_komt_mee,"['oorzaak', 'reden', 'komt', 'mee', 'gevolgen', 'ligt', 'sprake', 'hiervan', 'idee', 'oorzaken']",
92,130,92_verzekering_zorgverzekering_aanvraag_risico,"['verzekering', 'zorgverzekering', 'aanvraag', 'risico', 'kosten', 'uwv', 'vergoed', 'levensverzekering', 'medische', 'zorgverzekeraar']",
93,106,93_ogen_oogarts_oog_wijsheid,"['ogen', 'oogarts', 'oog', 'wijsheid', 'oogontsteking', 'ontstoken', 'opticien', 'rood', 'zicht', 'droge']",
94,155,94_diarree_buikpijn_water_overgegeven,"['diarree', 'buikpijn', 'water', 'overgegeven', 'remmer', 'overgeven', 'last', 'extreme', 'erger', 'eten']",
95,261,95_dosis_dosering_afbouwen_voorgeschreven,"['dosis', 'dosering', 'afbouwen', 'voorgeschreven', 'verhogen', 'innemen', 'gebruiken', 'afbouw', 'daags', 'kuur']",
96,95,96_spiegel_dalspiegel_medicijnspiegel_spiegels,"['spiegel', 'dalspiegel', 'medicijnspiegel', 'spiegels', 'bekend', 'prikken', 'medicatiespiegel', 'geprikt', 'antistoffen', 'ochtends']",
97,189,97_huis_voorraad_thuis_liggen,"['huis', 'voorraad', 'thuis', 'liggen', 'gebruikt', 'are', 'they', 'complaints', 'getting', 'worse']",
98,123,98_mdl_arts_artsen_medische,"['mdl', 'arts', 'artsen', 'medische', 'verpleegkundige', 'huisarts', 'afspraak', 'chirurg', 'behandelende', 'doorverwezen']",
99,140,99_krampen_buikkrampen_buikklachten_kramp,"['krampen', 'buikkrampen', 'buikklachten', 'kramp', 'flinke', 'last', 'voeten', 'lucht', 'koortslip', 'menstruatie']",
100,89,100_tandarts_mond_tandvlees_tong,"['tandarts', 'mond', 'tandvlees', 'tong', 'kaakchirurg', 'ontstoken', 'kaakchirurgie', 'tanden', 'aften', 'gehemelte']",
101,136,101_controle_controles_controlestrook_afspraak,"['controle', 'controles', 'controlestrook', 'afspraak', 'jaarlijkse', 'afdeling', 'controleer', 'gemaakt', 'komen', 'controleafspraak']",
102,93,102_colitis_ulcerosa_colitus_collitis,"['colitis', 'ulcerosa', 'colitus', 'collitis', 'symptomen', 'pancreatitis', 'ulserosa', 'diagnose', 'opgetreden', 'pouch']",
103,87,103_infliximab_infuus_infliximap_subcutaan,"['infliximab', 'infuus', 'infliximap', 'subcutaan', 'bijwerking', 'remicade', 'dalspiegel', 'eliquis', 'volgende', 'apixaban']",
104,88,104_urine_nier_nieren_urinekweek,"['urine', 'nier', 'nieren', 'urinekweek', 'urineweginfectie', 'nierfunctie', 'gecontroleerd', 'kweek', 'niersteen', 'infectie']",
105,170,105_hoogte_voldoende_hoop_hopende,"['hoogte', 'voldoende', 'hoop', 'hopende', 'duidelijkheid', 'afwachting', 'houd', 'weten', 'geinformeerd', 'hiermee']",
106,305,106_gebeurd_oplossen_gelukt_helaas,"['gebeurd', 'oplossen', 'gelukt', 'helaas', 'heden', 'geval', 'probleem', 'lossen', 'opgelost', 'hiervan']",
107,82,107_calpro_thuistest_calprotest_calprosmart,"['calpro', 'thuistest', 'calprotest', 'calprosmart', 'waarde', 'test', 'gedaan', 'medewerker', 'uitslag', 'hoger']",
108,216,108_melden_doorgeven_wilde_weten,"['melden', 'doorgeven', 'wilde', 'weten', 'bespreken', 'hoeft', 'meld', 'laten', 'vergeten', 'vandaar']",
109,119,109_vragenlijst_ingevuld_invullen_vragenlijsten,"['vragenlijst', 'ingevuld', 'invullen', 'vragenlijsten', 'vullen', 'antwoorden', 'lijst', 'maandelijkse', 'vragen', 'maandelijks']",
110,152,110_injectie_injecties_infusen_injecteren,"['injectie', 'injecties', 'infusen', 'injecteren', 'gezet', 'zetten', 'simponi', 'pil', 'spuit', 'adalimumab']",
111,92,111_scopie_sedatie_gepland_plaatsvinden,"['scopie', 'sedatie', 'gepland', 'plaatsvinden', 'staat', 'middels', 'narcose', 'getroffen', 'lezer', 'dames']",
112,163,112_bekend_wijsheid_weet_duidelijk,"['bekend', 'wijsheid', 'weet', 'duidelijk', 'trant', 'onbekend', 'opgezocht', 'vedo', 'vreemd', 'naam']",
113,107,113_hoofdpijn_duizelig_duizeligheid_hoofd,"['hoofdpijn', 'duizelig', 'duizeligheid', 'hoofd', 'migraine', 'licht', 'hartkloppingen', 'gevoel', 'moe', 'last']",
114,107,114_zorgen_ongerust_bang_begin,"['zorgen', 'ongerust', 'bang', 'begin', 'angstig', 'beangstigend', 'bezorgd', 'ernstige', 'elkaar', 'ongerustheid']",
115,99,115_psylliumvezels_metamucil_suikervrij_volcolon,"['psylliumvezels', 'metamucil', 'suikervrij', 'volcolon', 'teva', 'orange', 'macrogol', 'magnesiumhydroxide', 'psyllium', 'granulaat']",
116,79,116_ustekinumab_ustekinimab_the_injection,"['ustekinumab', 'ustekinimab', 'the', 'injection', 'and', 'started', 'blood', 'injectie', 'already', 'spiegel']",
117,81,117_reumatoloog_reumatologie_artrose_fibromyalgie,"['reumatoloog', 'reumatologie', 'artrose', 'fibromyalgie', 'hematoloog', 'verwijzing', 'gewrichtsklachten', 'reuma', 'consult', 'opnemen']",
118,197,118_vraagtekens_vreemd_besproken_keuze,"['vraagtekens', 'vreemd', 'besproken', 'keuze', 'opvolger', 'navragen', 'begrepen', 'wilt', 'sticker', 'gelegd']",
119,90,119_anus_pijnlijke_branderig_gevoel,"['anus', 'pijnlijke', 'branderig', 'gevoel', 'pijn', 'endeldarm', 'gebied', 'anaal', 'pijnlijk', 'vagina']",
120,107,120_ontsteking_ontstekingen_actief_genezen,"['ontsteking', 'ontstekingen', 'actief', 'genezen', 'reuma', 'teken', 'voorkomen', 'uveitis', 'aanwezig', 'erythema']",
121,77,121_snelle_reactie_dankjewel_bedankt,"['snelle', 'reactie', 'dankjewel', 'bedankt', 'hoi', 'antwoord', 'dank', 'hallo', 'handelen', 'reageren']",
122,79,122_vedolizumab_vedoluzimab_infuus_geplend,"['vedolizumab', 'vedoluzimab', 'infuus', 'geplend', 'entyvio', 'systeem', 'staat', 'naast', 'poliafspraak', 'wekelijks']",
123,114,123_prikken_prik_handiger_laten,"['prikken', 'prik', 'handiger', 'laten', 'schildklier', 'prikpen', 'prikdag', 'geprikt', 'morgen', 'laat']",
124,85,124_snelle_reactie_dankjewel_dank,"['snelle', 'reactie', 'dankjewel', 'dank', 'bedankt', 'hartelijk', 'antwoord', 'nogmaals', 'handelen', 'hulp']",
125,185,125_goedemorgen_goedemiddag_fijne_goedendag,"['goedemorgen', 'goedemiddag', 'fijne', 'goedendag', 'goede', 'fijn', 'morgen', 'your', 'bericht', 'goedenavond']",
126,141,126_misselijk_eetlust_overgeven_misselijkheid,"['misselijk', 'eetlust', 'overgeven', 'misselijkheid', 'eten', 'braken', 'maag', 'eet', 'gegeten', 'vermoeid']",
127,176,127_ophalen_halen_afhalen_voorraad,"['ophalen', 'halen', 'afhalen', 'voorraad', 'morgen', 'balie', 'levering', 'inleveren', 'komen', 'spullen']",
128,175,128_last_overdag_ophouden_soms,"['last', 'overdag', 'ophouden', 'soms', 'wetende', 'winderigheid', 'hinder', 'aandrang', 'ondervind', 'regelmaat']",
129,80,129_beste_best_advies_adviezen,"['beste', 'best', 'advies', 'adviezen', 'gezondheid', 'aandoen', 'handigst', 'hoor', 'verstandigst', 'gyn']",
130,87,130_calprotectine_uitslag_bekend_calproteine,"['calprotectine', 'uitslag', 'bekend', 'calproteine', 'afgewacht', 'feces', 'ferritine', 'uitslagen', 'gezien', 'remicadebehandeling']",
131,77,131_app_downloaden_telefoon_ondersteund,"['app', 'downloaden', 'telefoon', 'ondersteund', 'apparaat', 'pincode', 'geinstalleerd', 'werkt', 'samsung', 'afbeelding']",
132,76,132_stoma_stomaverpleegkundige_verwijderd_operatie,"['stoma', 'stomaverpleegkundige', 'verwijderd', 'operatie', 'tijdelijk', 'darm', 'dikke', 'opinion', 'second', 'heffen']",
133,94,133_excuses_sorry_late_vele,"['excuses', 'sorry', 'late', 'vele', 'ongemak', 'excuus', 'geduld', 'spijt', 'jammer', 'lastig']",
134,86,134_temperatuur_kortademigheid_warm_kortademig,"['temperatuur', 'kortademigheid', 'warm', 'kortademig', 'temp', 'koud', 'graden', 'adem', 'verkouden', 'rillingen']",
135,131,135_mogelijk_mogelijkheden_hoor_alternatief,"['mogelijk', 'mogelijkheden', 'hoor', 'alternatief', 'optie', 'opgezocht', 'termijn', 'korte', 'indien', 'graag']",
136,76,136_azathioprine_daags_compres_klinion,"['azathioprine', 'daags', 'compres', 'klinion', 'tablet', 'ampul', 'forlax', 'code', 'vergoed', 'zakje']",
137,92,137_gehoord_vernomen_heden_hierover,"['gehoord', 'vernomen', 'heden', 'hierover', 'helaas', 'hierop', 'snap', 'bevestiging', 'gisterenmorgen', 'kwartaal']",
138,80,138_vermoeidheid_vermoeidheidsklachten_aanwezig_last,"['vermoeidheid', 'vermoeidheidsklachten', 'aanwezig', 'last', 'algehele', 'toegenomen', 'chronische', 'verklaren', 'moeheid', 'inspanning']",
139,144,139_rode_jeukt_rood_plek,"['rode', 'jeukt', 'rood', 'plek', 'gezwollen', 'bultjes', 'dik', 'vlek', 'pijnlijk', 'voelt']",
140,62,140_antwoord_reactie_dankjewel_hoi,"['antwoord', 'reactie', 'dankjewel', 'hoi', 'bedankt', 'hallo', 'dank', 'gereageerd', 'bijgaand', 'uitsluiten']",
