Topic,Count,Name,Representation,Representative_Docs
0,813,0_uitslagen_uitslag_resultaten_bekend,"['uitslagen', 'uitslag', 'resultaten', 'bekend', 'hiervan', 'resultaat', 'spiegel', 'daarvan', 'benieuwd', 'weten']",
1,736,1_bereikbaar_bellen_telefonisch_telefoonnummer,"['bereikbaar', 'bellen', 'telefonisch', 'telefoonnummer', 'contact', 'nummer', 'bereiken', 'opnemen', 'telefoon', 'tel']",
2,598,2_humira_spuiten_zetten_spuit,"['humira', 'spuiten', 'zetten', 'spuit', 'adalimumab', 'injectie', 'hyrimoz', 'gebruik', 'gespoten', 'spiegel']",
3,594,3_ingeleverd_inleveren_prikken_ontlasting,"['ingeleverd', 'inleveren', 'prikken', 'ontlasting', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'leveren', 'brengen']",
4,528,4_infuus_infusiecentrum_infusen_infusie,"['infuus', 'infusiecentrum', 'infusen', 'infusie', 'volgende', 'infuuscentrum', 'remsima', 'gepland', 'toegediend', 'krijg']",
5,554,5_crohn_ziekte_colitis_ulcerosa,"['crohn', 'ziekte', 'colitis', 'ulcerosa', 'colitus', 'reuma', 'ibd', 'combinatie', 'klachten', 'rustig']",
6,806,6_huisarts_arts_dokter_contact,"['huisarts', 'arts', 'dokter', 'contact', 'mdl', 'gynaecoloog', 'doorverwezen', 'opnemen', 'cardioloog', 'tandarts']",
7,480,7_calprotectine_calpro_waarde_thuistest,"['calprotectine', 'calpro', 'waarde', 'thuistest', 'test', 'gedaan', 'uitslag', 'bekend', 'gemeten', 'bepaling']",
8,412,8_prednison_prednisolon_afgebouwd_afbouwen,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwen', 'afbouwschema', 'gestart', 'stootkuur', 'starten', 'gebruik', 'slikken']",
9,705,9_medicatie_medicijn_medicijnen_medicijngebruik,"['medicatie', 'medicijn', 'medicijnen', 'medicijngebruik', 'starten', 'gebruik', 'bijwerkingen', 'gebruiken', 'middel', 'stoppen']",
10,469,10_test_thuistest_testen_zelftest,"['test', 'thuistest', 'testen', 'zelftest', 'gedaan', 'thuistesten', 'thuis', 'uitvoeren', 'zelftesten', 'getest']",
11,561,11_gebeld_gemist_helaas_telefonisch,"['gebeld', 'gemist', 'helaas', 'telefonisch', 'telefoon', 'bellen', 'telefonische', 'gemiste', 'contact', 'telefoontje']",
12,514,12_koorts_hoofdpijn_keel_hoesten,"['koorts', 'hoofdpijn', 'keel', 'hoesten', 'keelpijn', 'temperatuur', 'verhoging', 'griep', 'verkouden', 'hoest']",
13,470,13_apotheek_recept_locatie_sturen,"['apotheek', 'recept', 'locatie', 'sturen', 'faxen', 'doorsturen', 'recepten', 'gefaxt', 'nieuw', 'herhaalrecept']",
14,470,14_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'gisteren', 'bloedafname']",
15,488,15_pijn_gewrichten_pijnlijk_last,"['pijn', 'gewrichten', 'pijnlijk', 'last', 'handen', 'rug', 'pijnlijke', 'vingers', 'onderrug', 'hoofdpijn']",
16,349,16_ijzer_vitamine_ijzerinfuus_ijzergehalte,"['ijzer', 'vitamine', 'ijzerinfuus', 'ijzergehalte', 'laag', 'foliumzuur', 'tekort', 'vit', 'ijzertekort', 'magnesium']",
17,349,17_spuit_spuiten_injectie_zetten,"['spuit', 'spuiten', 'injectie', 'zetten', 'gezet', 'injecties', 'zet', 'volgende', 'nieuwe', 'wekelijks']",
18,357,18_bloeduitslagen_bloeduitslag_bekend_uitslagen,"['bloeduitslagen', 'bloeduitslag', 'bekend', 'uitslagen', 'uitslag', 'bloedonderzoek', 'bloedprikken', 'bloedwaarden', 'bloed', 'benieuwd']",
19,340,19_operatie_geopereerd_chirurg_chirurgie,"['operatie', 'geopereerd', 'chirurg', 'chirurgie', 'stoma', 'verwijderd', 'dikke', 'darm', 'keizersnede', 'galblaas']",
20,485,20_buikpijn_buik_onderbuik_pijn,"['buikpijn', 'buik', 'onderbuik', 'pijn', 'last', 'steken', 'navel', 'rechts', 'ribben', 'links']",
