Topic,Count,Name,Representation,Representative_Docs,Rank
32,2868,32_vriendelijke_groet_groeten_vriendelijk,"['vriendelijke', 'groet', 'groeten', 'vriendelijk', 'hartelijke', 'geb', 'groetjes', 'afwachting', 'bvd', 'contactpersoon']","['Met vriendelijke groet       Met', 'met vriendelijke groet,  ', 'Met vriendelijke  groet   .']",1
0,1484,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'uitslag', 'laten', 'leveren', 'bloedprikken', 'buisje']","['Beste, dinsdag 8 maart heb ik bloed laten prikken en ontlasting ingeleverd.', 'Hallo,  Ik heb 2 weken geleden ontlasting ingeleverd en bloed laten prikken.', 'Hallo, ik heb in augustus in   bloed laten prikken en ontlasting ingeleverd.']",2
1,1315,1_bellen_bereikbaar_telefonisch_gebeld,"['bellen', 'bereikbaar', 'telefonisch', 'gebeld', 'contact', 'belafspraak', 'nummer', 'telefonische', 'telefoon', 'opnemen']","['Hallo,  Zouden jullie mij kunnen bellen op  .', 'Zou ik telefonisch gebeld kunnen worden door jullie?', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer   Met vriendelijke groet,  ']",3
2,1292,2_recept_apotheek_sturen_nieuw,"['recept', 'apotheek', 'sturen', 'nieuw', 'faxen', 'herhaalrecept', 'herhaal', 'doorsturen', 'ophalen', 'recepten']","['Graag het recept naar apotheek  .', 'Er was echter geen recept bij de apotheek.', 'Nog steeds geen recept binnen bij apotheek!']",4
3,1086,3_medicatie_medicijnen_medicijn_bijwerkingen,"['medicatie', 'medicijnen', 'medicijn', 'bijwerkingen', 'kuur', 'gebruiken', 'stoppen', 'gebruik', 'voorgeschreven', 'medicijngebruik']","['Mijn medicatie is bijna op.', 'Zou dit iets met medicatie te maken kunnen hebben?', 'De medicatie is namelijk op.']",5
78,1017,78_groeten_groet_groetjes_will,"['groeten', 'groet', 'groetjes', 'will', 'merci', 'wijsheid', 'paffen', 'schoonzus', 'groetje', 'geb']","['groeten  ', 'Groeten,   ', 'Groeten aan jou en iedereen,   ']",6
4,1004,4_afspraak_staan_afspraken_gepland,"['afspraak', 'staan', 'afspraken', 'gepland', 'verzetten', 'plannen', 'nieuwe', 'agenda', 'gemaakt', 'inplannen']","['Maandag a.s. heb ik een afspraak met  .', 'Kan ik een afspraak maken bij  ', 'Op maandag 9 augustus heb ik een afspraak bij  .']",7
6,977,6_gaat_beter_goed_slechter,"['gaat', 'beter', 'goed', 'slechter', 'ging', 'gelukkig', 'helemaal', 'rustig', 'komt', 'gebeurd']","['Gaat nu ook inderdaad wat beter.', 'Het gaat nu wat beter.', 'Gaat wat beter nu.']",8
5,946,5_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'medische', 'afspraak', 'behandelend', 'huisartsenpost', 'bespreken', 'opnemen']","['Zou ik naar de huisarts moeten?', 'Ik ben afgelopen vrijdag weer bij de huisarts geweest.', 'Ja bij mijn huisarts.']",9
150,830,150_groetjes_liefs_smart_lachen,"['groetjes', 'liefs', 'smart', 'lachen', 'boden', 'typ', 'hetvolgende', 'miranda', 'vergelijk', 'beangstigend']","['Groetjes nicky  ', 'Groetjes    ', 'Groetjes,      .']",10
