topic_name,category
0_bedankt_dank_reactie_alvast,social
1_prikken_ontlasting_bloed_ingeleverd,medical
2_telefonisch_bellen_gebeld_contact,administrative
3_pijn_buik_buikpijn_last,medical
4_slijm_toilet_ontlasting_bloed,medical
5_afspraak_poli_gepland_staan,administrative
6_uitslag_uitslagen_bekend_bloeduitslagen,medical
7_apotheek_recept_locatie_sturen,administrative
8_brief_ontvangen_mail_post,administrative
9_humira_spuit_spuiten_injectie,medical
10_huisarts_arts_dokter_mdl,medical
11_formulieren_formulier_potje_lab,administrative
12_medicatie_medicijnen_medicijn_stoppen,medical
13_calprotectine_waarde_waardes_crp,medical
14_mee_hiermee_weet_hieraan,administrative
15_test_app_quanton_cal,administrative
16_infuus_infliximab_vedolizumab_remicade,medical
17_gaat_beter_goed_slechter,medical
18_hoop_wacht_afwachten_hoogte,social
19_koorts_hoesten_keel_keelpijn,medical
20_tabletten_dosis_tablet_dosering,medical
21_eten_eet_misselijk_eetlust,medical
22_crohn_colitis_ziekte_ulcerosa,medical
23_ziekenhuis_opgenomen_locatie_langs,medical
24_klachten_verergerd_erger_verminderd,medical
25_prednison_prednisolon_afgebouwd_afbouwschema,medical
26_endoscopie_coloscopie_colonscopie_gastroscopie,medical
27_darmen_darm_darmklachten_dikke,medical
28_lang_maanden_jaar_wachten,administrative
29_operatie_chirurg_geopereerd_chirurgie,medical
30_gebeurd_helaas_oplossen_gelukt,medical
31_huid_gezicht_jeuk_rode,medical
32_vraag_vragen_vraagje_vraagjes,medical
33_zwanger_gynaecoloog_zwangerschap_bevallen,medical
34_advies_adviseren_graag_tips,medical
35_vaccinatie_vaccin_vaccinaties_covid,medical
36_voel_slecht_echt_voelde,medical
37_vakantie_vertrek_nederland_reizen,administrative
38_purinethol_puri_nethol_nieuw,medical
39_ibd_periodieke_ibdcoach_gezondheidscheck,medical
40_vitamine_foliumzuur_vitamines_multivitamine,medical
41_werk_werken_werkgever_thuis,administrative
42_besproken_vreemd_vraag_keuze,medical
43_darmonderzoek_darm_maagonderzoek_onderzoek,medical
44_pentasa_granulaat_zetpillen_korrels,medical
45_antibiotica_kuur_antibioticakuur_bacterie,medical
46_diarree_buikgriep_buikpijn_overgeven,medical
47_melden_doorgeven_wilde_weten,administrative
48_mri_scan_uitslag_gemaakt,medical
49_moe_energie_vermoeid_voel,medical
50_onderzoek_bevolkingsonderzoek_darmkanker_onderzoeken,medical
51_omeprazol_esomeprazol_daags_chew,medical
52_klysma_klysmas_schuimklysma_gebruikt,medical
53_paracetamol_tramadol_amitriptyline_helpt,medical
54_ijzer_ijzerinfuus_ijzergehalte_ijzertekort,medical
55_corona_positief_getest_virus,medical
56_zetpillen_pillen_herhaal_gebruiken,medical
57_adres_locatie_mailadres_gewijzigd,administrative
58_urine_blaasontsteking_blaas_nier,medical
59_controle_afspraak_controles_controlestrook,administrative
60_anus_fistel_abces_pijn,medical
