Topic,Count,Name,Representation,Representative_Docs
0,1452,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'uitslag', 'laten', 'leveren', 'bloedprikken', 'buisje']","['Beste, dinsdag 8 maart heb ik bloed laten prikken en ontlasting ingeleverd.', 'Hallo,  Ik heb 2 weken geleden ontlasting ingeleverd en bloed laten prikken.', 'Hallo, ik heb in augustus in   bloed laten prikken en ontlasting ingeleverd.']"
1,1268,1_bellen_bereikbaar_telefonisch_gebeld,"['bellen', 'bereikbaar', 'telefonisch', 'gebeld', 'contact', 'belafspraak', 'nummer', 'telefonische', 'telefoon', 'opnemen']","['Hallo,  Zouden jullie mij kunnen bellen op  .', 'Zou ik telefonisch gebeld kunnen worden door jullie?', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer   Met vriendelijke groet,  ']"
2,1178,2_recept_apotheek_sturen_nieuw,"['recept', 'apotheek', 'sturen', 'nieuw', 'faxen', 'herhaalrecept', 'herhaal', 'doorsturen', 'ophalen', 'recepten']","['Graag het recept naar apotheek  .', 'Er was echter geen recept bij de apotheek.', 'Nog steeds geen recept binnen bij apotheek!']"
3,1044,3_medicatie_medicijnen_medicijn_bijwerkingen,"['medicatie', 'medicijnen', 'medicijn', 'bijwerkingen', 'kuur', 'gebruiken', 'stoppen', 'gebruik', 'voorgeschreven', 'medicijngebruik']","['Mijn medicatie is bijna op.', 'Zou dit iets met medicatie te maken kunnen hebben?', 'De medicatie is namelijk op.']"
4,979,4_afspraak_staan_afspraken_gepland,"['afspraak', 'staan', 'afspraken', 'gepland', 'verzetten', 'plannen', 'nieuwe', 'agenda', 'gemaakt', 'inplannen']","['Maandag a.s. heb ik een afspraak met  .', 'Kan ik een afspraak maken bij  ', 'Op maandag 9 augustus heb ik een afspraak bij  .']"
5,913,5_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'medische', 'afspraak', 'behandelend', 'huisartsenpost', 'bespreken', 'opnemen']","['Zou ik naar de huisarts moeten?', 'Ik ben afgelopen vrijdag weer bij de huisarts geweest.', 'Ja bij mijn huisarts.']"
6,950,6_gaat_beter_goed_slechter,"['gaat', 'beter', 'goed', 'slechter', 'ging', 'gelukkig', 'helemaal', 'rustig', 'komt', 'gebeurd']","['Gaat nu ook inderdaad wat beter.', 'Het gaat nu wat beter.', 'Gaat wat beter nu.']"
7,606,7_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gebruik', 'gespoten', 'spiegel', 'prik', 'injecties']","['Ik kan elke week humira niet aan.', 'Dit alles had ik bij de humira niet.', '( humira)     ']"
8,672,8_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'laat']","['Ik heb overigens gisterenochtend bloed laten prikken.', 'Ik heb echter nog geen bloed laten prikken.', 'Moet ik misschien bloed laten prikken?']"
9,745,9_mogelijk_bedoeling_mee_optie,"['mogelijk', 'bedoeling', 'mee', 'optie', 'klopt', 'geregeld', 'reden', 'oorzaak', 'komt', 'mogelijkheden']","['Hoor graag of dit mogelijk is.', 'Ik hoor graag of dit mogelijk is en hoe verder.', 'Ik hoor graag of dat mogelijk is.']"
