Topic,Count,Name,Representation,Representative_Docs
0,1450,0_ontlasting_ingeleverd_bloed_inleveren,"['ontlasting', 'ingeleverd', 'bloed', 'inleveren', 'prikken', 'uitslag', 'laten', 'leveren', 'en', 'binnen']",
1,1310,1_bellen_telefonisch_contact_bereikbaar,"['bellen', 'telefonisch', 'contact', 'bereikbaar', 'gebeld', 'belafspraak', 'telefoon', 'telefonische', 'nummer', 'telefoonnummer']",
2,1332,2_apotheek_recept_locatie_sturen,"['apotheek', 'recept', 'locatie', 'sturen', 'naar', 'nieuw', 'faxen', 'zorginstelling', 'kunnen', 'herhaalrecept']",
3,974,3_mail_ontvangen_deze_bericht,"['mail', 'ontvangen', 'deze', 'bericht', 'sturen', 'gestuurd', 'post', 'ophalen', 'ze', 'verstuurd']",
4,899,4_afspraak_staan_gepland_afspraken,"['afspraak', 'staan', 'gepland', 'afspraken', 'verzetten', 'plannen', 'nieuwe', 'maandag', 'een', 'agenda']",
5,602,5_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'gebruik', 'injectie', 'gespoten', 'spiegel', 'weken', 'prik']",
6,671,6_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'moet', 'gaan', 'ziekenhuis', 'week', 'maandag']",
7,861,7_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'afspraak', 'geweest', 'met', 'bij', 'persoon', 'dr']",
8,522,8_bloeduitslagen_bloeduitslag_bloed_uitslagen,"['bloeduitslagen', 'bloeduitslag', 'bloed', 'uitslagen', 'bekend', 'bloedwaarden', 'uitslag', 'al', 'binnen', 'waren']",
9,496,9_uitslag_resultaten_hiervan_bekend,"['uitslag', 'resultaten', 'hiervan', 'bekend', 'binnen', 'al', 'daarvan', 'jullie', 'de', 'resultaat']",
10,474,10_infuus_entyvio_volgende_na,"['infuus', 'entyvio', 'volgende', 'na', 'infuuscentrum', 'weken', 'gepland', 'mijn', 'het', 'week']",
