Topic,Count,Name,Representation,Representative_Docs
0,1731,0_afspraak_poli_staan_gepland,"['afspraak', 'poli', 'staan', 'gepland', 'controle', 'plannen', 'belafspraak', 'afspraken', 'poliafspraak', 'gemaakt']","['Ik heb namelijk pas 28 mei weer een afspraak bij [PERSOON].', 'Maandag heb ik weer een afspraak met [PERSOON].', 'Ben jij er dan ook bij of is de afspraak alleen met [PERSOON] ?']"
1,837,1_uitslag_uitslagen_resultaten_bekend,"['uitslag', 'uitslagen', 'resultaten', 'bekend', 'hiervan', 'resultaat', 'spiegel', 'weten', 'benieuwd', 'daarvan']","['Hebben jullie al een uitslag binnen?', 'Is de uitslag al binnen?', 'Heeft u de uitslag voor mij?']"
2,899,2_slijm_bloed_ontlasting_bloedverlies,"['slijm', 'bloed', 'ontlasting', 'bloedverlies', 'zit', 'soms', 'helder', 'erbij', 'afvegen', 'toilet']","['Er zit slijm en bloed bij mijn ontlasting.', 'Ik heb geen bloed of slijm bij de ontlasting.', 'ik heb geen bloed, wel slijm bij de ontlasting.']"
3,953,3_medicatie_medicijn_medicijnen_gebruik,"['medicatie', 'medicijn', 'medicijnen', 'gebruik', 'bijwerkingen', 'starten', 'gebruiken', 'medicijngebruik', 'stoppen', 'middel']","['Graag zou ik andere medicatie willen.', 'Zou dit iets met medicatie te maken kunnen hebben?', 'Kan dit iets te maken hebben met mijn medicatie.']"
4,629,4_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'adalimumab', 'gebruik', 'gespoten', 'hyrimoz', 'spiegel']","['Sinds 3 weken geen humira meer gehad.', 'Ik kan elke week humira niet aan.', 'Mijn eigen prikschema met Humira is om de twee weken op de donderdag en wel op op 8 april en 20 mei.']"
5,900,5_buikpijn_buik_pijn_last,"['buikpijn', 'buik', 'pijn', 'last', 'onderbuik', 'gevoel', 'buikkrampen', 'diarree', 'krampen', 'misselijk']","['De afgelopen week heb ik steeds meer last van buikpijn.', 'Beste,  Sinds deze week heb ik veel last van mijn buik.', 'Ik heb veel pijn in mijn buik.']"
6,927,6_huisarts_arts_dokter_contact,"['huisarts', 'arts', 'dokter', 'contact', 'gynaecoloog', 'mdl', 'doorverwezen', 'opnemen', 'verwijzing', 'behandeling']","['Of moet dat ook via de huisarts?', 'Of had de huisarts dit moeten doen?', 'Zou ik naar de huisarts moeten?']"
7,603,7_ingeleverd_inleveren_prikken_bloed,"['ingeleverd', 'inleveren', 'prikken', 'bloed', 'ontlasting', 'laten', 'geprikt', 'bloedprikken', 'leveren', 'afgegeven']","['Hi [PERSOON],   Nee, op dinsdag 17 mei heb ik bloed laten prikken in [PERSOON] en ontlasting ingeleverd.', 'Ik heb op 2 januari geen bloed laten prikken en ook geen ontlasting ingeleverd.', 'Maandag 2 mei heb ik bloed laten prikken en ontlasting ingeleverd.']"
8,561,8_crohn_ziekte_colitis_ulcerosa,"['crohn', 'ziekte', 'colitis', 'ulcerosa', 'ibd', 'colitus', 'reuma', 'collitis', 'klachten', 'rustig']","['Zou het van de Crohn kunnen zijn.', 'Kan ik dit gewoon nemen of doet dit ook iets aan de crohn.', 'Kan dit iets met de crohn te maken hebben en is hier iets aan te doen?']"
9,528,9_infuus_infusiecentrum_infusen_infusie,"['infuus', 'infusiecentrum', 'infusen', 'infusie', 'volgende', 'infuuscentrum', 'gepland', 'krijg', 'toegediend', 'remsima']","['Wanneer mag ik mijn infuus weer hebben?', 'Ik heb 9 augustus wel mijn infuus gehad.', 'Kan ik dan mijn infuus nog een week opschuiven?']"
