Topic,Count,Name,Representation,Representative_Docs
-1,15335,-1_afspraak_last_buikpijn_medicatie,"['afspraak', 'last', 'buikpijn', 'medicatie', 'keer', 'diarree', 'laatste', 'weet', 'pijn', 'gaan']","['Er zit nu geen bloed en slijm meer bij de ontlasting.Wel moet ik iedere keer na het eten naar het toilet.', 'In maart heb ik telefonisch contact gehad met [PERSOON] ivm controle ibd poli.', 'Beste,  Sinds ik 5mg medicatie gebruik heb ik meer last van mij darmen.']"
0,786,0_uitslagen_uitslag_resultaten_bekend,"['uitslagen', 'uitslag', 'resultaten', 'bekend', 'hiervan', 'resultaat', 'daarvan', 'spiegel', 'benieuwd', 'weten']","['Zijn de uitslagen al bekend?', 'Zijn er al uitslagen bekend?', 'Ik vroeg mij af of deze uitslagen bekend zijn?']"
1,636,1_bereikbaar_telefonisch_bellen_telefoonnummer,"['bereikbaar', 'telefonisch', 'bellen', 'telefoonnummer', 'nummer', 'contact', 'bereiken', 'opnemen', 'tel', 'telefoon']","['Ik ben vanaf nu telefonisch bereikbaar.', 'En ik ben gewoon telefonisch bereikbaar vandaag.', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer [TELEFOONNUMMER] Met vriendelijke groet, [PERSOON]']"
2,542,2_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'adalimumab', 'gespoten', 'injectie', 'hyrimoz', 'gebruik', 'spiegel']","['Dit alles had ik bij de humira niet.', 'Ik heb mijn Humira deze week nog niet gehad.', 'Sinds 3 weken geen humira meer gehad.']"
3,524,3_ingeleverd_inleveren_prikken_ontlasting,"['ingeleverd', 'inleveren', 'prikken', 'ontlasting', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'leveren', 'afgegeven']","['Ik heb op 2 januari geen bloed laten prikken en ook geen ontlasting ingeleverd.', 'Afgelopen vrijdag heb ik bloed laten prikken en ontlasting ingeleverd.', 'Op 22 november heb ik ontlasting ingeleverd en bloed laten prikken.']"
4,472,4_infuus_infusiecentrum_infusen_infusie,"['infuus', 'infusiecentrum', 'infusen', 'infusie', 'volgende', 'infuuscentrum', 'gepland', 'krijg', 'biological', 'infuustherapie']","['Ik heb 9 augustus wel mijn infuus gehad.', 'Wanneer mag ik mijn infuus weer hebben?', 'Mag dit samen met mijn infuus?']"
5,466,5_crohn_ziekte_colitis_ulcerosa,"['crohn', 'ziekte', 'colitis', 'ulcerosa', 'colitus', 'ibd', 'reuma', 'collitis', 'rustig', 'klachten']","['Maar ik vraag me nu af of het met Crohn te maken heeft.', 'Beste [PERSOON], In de afgelopen 24u is mijn Crohn opgevlamd.', 'Zou het van de Crohn kunnen zijn.']"
6,458,6_huisarts_arts_dokter_contact,"['huisarts', 'arts', 'dokter', 'contact', 'mdl', 'doorverwezen', 'opnemen', 'bespreken', 'huisartsenpost', 'behandelend']","[""Volgens de huisarts heb ik ze gehad in '89."", 'Of moet dat ook via de huisarts?', 'Of moet het via de huisarts?']"
7,454,7_calprotectine_calpro_waarde_thuistest,"['calprotectine', 'calpro', 'waarde', 'thuistest', 'test', 'gedaan', 'uitslag', 'bekend', 'gemeten', 'bepaling']","['En de calprotectine?', 'En de calprotectine is ook al binnen?', 'Calprotectine was 48.']"
8,407,8_prednison_prednisolon_afgebouwd_afbouwschema,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwschema', 'afbouwen', 'gestart', 'stootkuur', 'starten', 'slikken', 'gebruik']","['Beste [PERSOON], [PERSOON], Graag had ik nog een recept voor de prednison.', 'Ben ik hier weg kan ik weer aan de prednison.', 't/m 22-08 prednison 71/2 v.a.']"
9,407,9_medicatie_medicijn_medicijnen_medicijngebruik,"['medicatie', 'medicijn', 'medicijnen', 'medicijngebruik', 'starten', 'gebruik', 'zwangerschap', 'vraag', 'gebruiken', 'bijwerkingen']","['Kan dit Met de medicatie te maken hebben?', 'Kan dit iets te maken hebben met mijn medicatie.', 'Moet ik dit vóór of na de medicatie doen?']"
10,379,10_test_thuistest_testen_zelftest,"['test', 'thuistest', 'testen', 'zelftest', 'thuistesten', 'gedaan', 'thuis', 'zelftesten', 'uitvoeren', 'nieuwe']","['1x te veel, dus verprutste test.', 'Hij scande de test niet.', 'De test is onder de']"
11,374,11_gebeld_gemist_oproep_helaas,"['gebeld', 'gemist', 'oproep', 'helaas', 'gemiste', 'bellen', 'telefoon', 'geprobeerd', 'teruggebeld', 'nummer']","['Zij heeft mij toen niet gebeld.', 'Ook afgelopen maandag ben ik niet gebeld.', 'Echter heeft ze mij niet gebeld.']"
12,360,12_koorts_keel_hoofdpijn_keelpijn,"['koorts', 'keel', 'hoofdpijn', 'keelpijn', 'hoesten', 'verhoging', 'temperatuur', 'griep', 'graden', 'verkoudheid']","['Ik heb geen koorts.', 'Dus geen koorts.', 'Ik heb geen koorts.']"
13,343,13_apotheek_recept_sturen_locatie,"['apotheek', 'recept', 'sturen', 'locatie', 'faxen', 'nieuw', 'herhaalrecept', 'gestuurd', 'gefaxt', 'doorsturen']","['Apotheek [LOCATIE] vroeg om een juist recept naar hen te sturen.', 'Sturen jullie dan een recept naar mijn apotheek [PERSOON] in [LOCATIE]?', 'U mag het recept sturen naar [APOTHEEK] in de [LOCATIE].']"
14,314,14_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'hoi', 'ziekenhuis', 'vanochtend']","['- Ik heb twee weken geleden bloed laten prikken.', 'Ik zal in februari van 2018 mijn bloed laten prikken.', 'Maar ik heb afgelopen vrijdag bloed laten prikken.']"
15,295,15_pijn_gewrichten_handen_pijnlijk,"['pijn', 'gewrichten', 'handen', 'pijnlijk', 'rug', 'last', 'hoofdpijn', 'onderrug', 'vingers', 'knien']","['Sinds 10 dagen heb ik veel last van mijn gewrichten in mijn handen en doen mijn ellebogen veel pijn.', 'Ik heb omzettend veel pijn gehad.', 'Maar ik heb af en toe meer pijn.']"
16,291,16_ijzer_ijzerinfuus_vitamine_ijzergehalte,"['ijzer', 'ijzerinfuus', 'vitamine', 'ijzergehalte', 'laag', 'tekort', 'vit', 'ijzertekort', 'foliumzuur', 'magnesium']","['Hallo,   Op 6 augustus heb ik mijn ijzer infuus gehad.', 'Als het ijzer te laag wordt, heeft [PERSOON] me de vorige keer een ijzer infuus voorgeschreven.', 'Is het tevens mogelijk om dan ook nog eens vitamine b12 en ijzer te laten prikken?']"
17,286,17_spuit_spuiten_injectie_zetten,"['spuit', 'spuiten', 'injectie', 'zetten', 'gezet', 'injecties', 'volgende', 'wekelijks', 'zet', 'nieuwe']","['Afgelopen zondag heb ik mijn spuit moeten zetten.', 'Ik moet deze donderdag weer de spuit zetten.', 'Beste [PERSOON],  Als ik het dus goed begrijp, mag ik deze week niet spuiten en volgende week dus de eerste spuit van 10mg zetten.']"
18,278,18_bloeduitslagen_bloeduitslag_bekend_uitslagen,"['bloeduitslagen', 'bloeduitslag', 'bekend', 'uitslagen', 'uitslag', 'bloedonderzoek', 'bloedprikken', 'bloed', 'prikken', 'resultaten']","['Zijn mijn bloeduitslagen al bekend?', '[PERSOON], Zijn de bloeduitslagen al bekend?', 'zijn de bloeduitslagen al bekend?']"
19,270,19_operatie_geopereerd_chirurg_stoma,"['operatie', 'geopereerd', 'chirurg', 'stoma', 'chirurgie', 'verwijderd', 'dikke', 'darm', 'keizersnede', 'galblaas']","['Graag zou ik nu weten wat dat voor een operatie zou zijn.', 'Hoi [PERSOON] of [PERSOON] afgelopen maandag mijn operatie gehad.', '[PERSOON] en [PERSOON] ivm een operatie.']"
20,268,20_buikpijn_buik_onderbuik_pijn,"['buikpijn', 'buik', 'onderbuik', 'pijn', 'rechts', 'links', 'ribben', 'navel', 'steken', 'last']","['Ik heb ook sinds een paar dagen weer meer buikpijn.', 'De afgelopen week heb ik steeds meer last van buikpijn.', 'De laatste 2 weken heb ik veel pijn in mijn buik.']"
21,268,21_lang_duurt_maanden_duren,"['lang', 'duurt', 'maanden', 'duren', 'minuten', 'vind', 'tijd', 'inschatten', 'maand', 'wachten']","['Ik maak me toch wel een beetje zorgen en de afspraak duurt nog 4 weken, zo lang.', 'Dit duurt me te lang.', 'Hoop dat het niet heel lang duurt.']"
22,247,22_formulieren_formulier_buisje_papieren,"['formulieren', 'formulier', 'buisje', 'papieren', 'bloedprik', 'potje', 'prikken', 'bloedprikken', 'bloedprikformulieren', 'bloedafname']","['Hallo [PERSOON],  Ook voor de ontlasting heb ik geen formulieren.', 'En heb toch nog niks laten prikken omdat ik geen formulieren heb.', 'Ik heb geen formulieren meer voor het prikken van het bloed.']"
23,233,23_ziekenhuis_opgenomen_locatie_werk,"['ziekenhuis', 'opgenomen', 'locatie', 'werk', 'lig', 'behandeling', 'seh', 'hart', 'stage', 'kamer']","['Nee in het [ZIEKENHUIS] ongeveer 10 december,', 'Dit ga ik nu doen in het [ZIEKENHUIS].', 'Moet woensdag namelijk ook al weer naar t ziekenhuis.']"
24,225,24_formulieren_formulier_potje_opsturen,"['formulieren', 'formulier', 'potje', 'opsturen', 'toestemmingsformulier', 'bijlage', 'potjes', 'sturen', 'hiervoor', 'benodigde']","['Ik heb namelijk hier geen formulieren meer voor.', 'Ik heb de formulieren binnen.', '[PERSOON] doe ik dat, ik heb nog formulieren hier.']"
25,225,25_toilet_vaker_toiletbezoeken_rennen,"['toilet', 'vaker', 'toiletbezoeken', 'rennen', 'plassen', 'gemiddeld', 'keer', 'aandrang', 'dringend', 'plas']","[""Ga zo'n 4 - 6x per dag naar het toilet."", 'Kan sinds maandag niet naar het toilet.', 'Ik ga weer iets minder naar het toilet.']"
26,223,26_afspraak_staan_gepland_staat,"['afspraak', 'staan', 'gepland', 'staat', 'sept', 'opstaan', 'afspraken', 'datum', 'gemaakt', 'aanstaande']","['[PERSOON]/[PERSOON],  Ik heb een afspraak bij [PERSOON] op maandag 22mei 2017 om 11.15 uur.', 'Op 23 oktober a.s. heb ik een afspraak bij [PERSOON] gepland staan.', 'Ik heb op 5 december een afspraak staan bij [PERSOON] en op 20 december een afspraak bij [PERSOON].']"
27,217,27_vaccin_vaccinatie_griepprik_vaccineren,"['vaccin', 'vaccinatie', 'griepprik', 'vaccineren', 'astrazeneca', 'corona', 'oproep', 'boosterprik', 'gevaccineerd', 'pfizer']","['Beste,  Ik had een vraag over de vaccinatie van corona.', 'Hoe is dat voor het corona vaccin?', 'Verder heb ik een vraag omtrent het corona vaccin.']"
28,212,28_vakantie_vertrek_nederland_terug,"['vakantie', 'vertrek', 'nederland', 'terug', 'reizen', 'gaan', 'camping', 'rijden', 'eind', 'turkije']","['Ik ben dan eigenlijk al op vakantie.....', 'Die vakantie heeft hij wel verdiend.', 'Ik ben echter op vakantie van 26 december tot 8 januari.']"
29,206,29_uitslag_ontlasting_bekend_onderzoek,"['uitslag', 'ontlasting', 'bekend', 'onderzoek', 'ontlastingsonderzoek', 'ingeleverd', 'mailen', 'uitslagen', 'resultaten', 'hallo']","['Hoe is de uitslag van de ontlasting?', '[PERSOON] en [PERSOON],  Is de uitslag van de ontlasting al binnen?', '[PERSOON],  Ik heb de uitslag van de ontlasting binnen en die was 48.']"
30,205,30_moe_vermoeidheid_vermoeid_energie,"['moe', 'vermoeidheid', 'vermoeid', 'energie', 'voel', 'slap', 'merk', 'slapen', 'extreem', 'vermoeidheidsklachten']","['Weinig energie en moe.', 'Ben wel wat moe/weinig energie maar dat kan ook door de hitte zijn he..  [PERSOON]', 'Beste,   De laatste tijd heb ik weinig energie en voel ik me vaak moe.']"
31,204,31_mri_scan_mriscan_scans,"['mri', 'scan', 'mriscan', 'scans', 'uitslag', 'dunne', 'ingepland', 'gepland', 'gemaakt', 'datum']","['Kan ik ook een afspraak maken met  met [PERSOON] na de mri, die is 14 augustus.', 'Hallo [PERSOON] en [PERSOON],  Ik heb 30 juli een MRI gehad.', 'wanneer moet ik voor de mri?']"
32,202,32_recept_nieuw_herhaal_krijgen,"['recept', 'nieuw', 'herhaal', 'krijgen', 'uitschrijven', 'recepten', 'herhaalrecept', 'aub', 'voorbereiding', 'hiervoor']","['Maar er was geen recept.', 'Kunnen jullie het recept a.u.b. z.s.m.', 'Kunnen jullie een recept voor mij maken?']"
33,197,33_slijm_ontlasting_bloed_zit,"['slijm', 'ontlasting', 'bloed', 'zit', 'soms', 'diarree', 'buikpijn', 'erbij', 'helder', 'last']","['Slijm niet bij ontlasting wel bloed .', 'Sinds 2 dagen heb ik weer wat slijm en bloed bij de ontlasting.', 'ik heb geen bloed, wel slijm bij de ontlasting.']"
34,196,34_apotheek_locatie_zorginstelling_telefoonnummer,"['apotheek', 'locatie', 'zorginstelling', 'telefoonnummer', 'fax', 'emailadres', 'zorginstellingpersoonlocatie', 'gegevens', 'margraten', 'provincie']","['Apotheek is [PERSOON] in [LOCATIE].', 'Mijn apotheek is: Apotheek de [LOCATIE] [LOCATIE].', 'Mijn apotheek is nog steeds [PERSOON] in [LOCATIE].']"
35,188,35_ibd_ibdcoach_periodieke_team,"['ibd', 'ibdcoach', 'periodieke', 'team', 'vragenlijst', 'sessie', 'mijnibd', 'vullen', 'inloggen', 'ingevuld']","['Hallo IBD Coach, ik heb op 18 oktober j.l.', 'Mag via de IBD-coach.', 'Beste ibd coach,  Op 7 aug.j.l.']"
36,187,36_klachten_verergerd_dezelfde_verergeren,"['klachten', 'verergerd', 'dezelfde', 'verergeren', 'worse', 'verbeterd', 'erger', 'blijven', 'helaas', 'toegenomen']","['Maar de klachten zijn nog steeds.', 'Zelfde klachten als in maart.', 'Verder heb ik nog de klachten die ik reeds had.']"
37,186,37_fijn_horen_prima_goed,"['fijn', 'horen', 'prima', 'goed', 'gaat', 'beste', 'nieuws', 'hoi', 'klopt', 'hallo']","['Beste [PERSOON],  Ook dat is fijn om te horen!', 'Hoi [PERSOON]   Dat is heel fijn om te horen.', 'Beste [PERSOON],  Dat is fijn om te horen!']"
38,185,38_snelle_reactie_bedankt_terugkoppeling,"['snelle', 'reactie', 'bedankt', 'terugkoppeling', 'dank', 'dankjewel', 'antwoord', 'reageren', 'hulp', 'handelen']","['bedankt voor de snelle reactie', 'Bedankt voor de snelle reactie.', 'Bedankt voor de snelle reactie.']"
39,180,39_beter_gaat_langzaam_stuk,"['beter', 'gaat', 'langzaam', 'stuk', 'slechter', 'ging', 'rustig', 'gelukkig', 'slecht', 'voelde']","['Gaat nu ook inderdaad wat beter.', 'Het gaat nu wat beter.', 'Het gaat wat beter.']"
