Topic,Count,Name,Representation,Representative_Docs,Rank
13,3130,13_vriendelijke_groet_groeten_groetjes,"['vriendelijke', 'groet', 'groeten', 'groetjes', 'geb', 'vriendelijk', 'hartelijke', 'gebdatum', 'datum', 'groetend']","['Met vriendelijke groet,    .', 'Met vriendelijke Groet,   ', 'Met vriendelijke groet,      ']",1
0,2997,0_bloed_prikken_ontlasting_bloedprikken,"['bloed', 'prikken', 'ontlasting', 'bloedprikken', 'laten', 'bloeduitslagen', 'ingeleverd', 'geprikt', 'inleveren', 'slijm']","['Maar moet ik dan weer bloed laten prikken?', 'Bloed laten prikken op 1 of   in het  .', 'Ik heb 19 november voor het laatst mijn bloed laten prikken.']",2
1,1633,1_huisarts_arts_dokter_ziekenhuis,"['huisarts', 'arts', 'dokter', 'ziekenhuis', 'mdl', 'verpleegkundige', 'contact', 'afspraak', 'medische', 'behandeling']","['Ik heb de huisarts geraadpleegd.', 'Ik ben afgelopen vrijdag weer bij de huisarts geweest.', 'Zou ik naar de huisarts moeten?']",3
98,1330,98_groetjes_groeten_hallo_will,"['groetjes', 'groeten', 'hallo', 'will', 'vriendelijke', 'groet', 'geachte', 'hoi', 'afwachting', 'avond']","[':-) Groetjes, ', 'groetjes  .', 'Groetjes,  ,']",4
2,1085,2_apotheek_recept_sturen_faxen,"['apotheek', 'recept', 'sturen', 'faxen', 'nieuw', 'bestellen', 'ophalen', 'doorsturen', 'medicijnen', 'herhaalrecept']","['Graag het recept naar apotheek  .', 'Recept mag naar apotheek   ( ).', 'Het recept mag naar apotheek  .']",5
3,1074,3_medicatie_medicijn_medicijnen_bijwerkingen,"['medicatie', 'medicijn', 'medicijnen', 'bijwerkingen', 'gebruik', 'zetpillen', 'stoppen', 'gebruiken', 'bijwerking', 'dosering']","['Zou dit iets met medicatie te maken kunnen hebben?', 'Kan dit met de medicatie te maken hebben?', 'Ik vroeg me af of dit met de medicatie te maken heeft?']",6
10,706,10_vind_echt_gaat_helaas,"['vind', 'echt', 'gaat', 'helaas', 'vervelend', 'helemaal', 'mis', 'goed', 'moedeloos', 'absoluut']","['Er gaat e.e.a. niet goed.', 'Ik kan zeggen dat het mini stapjes vooruit gaat maar echt niet dat het goed met me gaat.', 'Het gaat inderdaad niet goed, helemaal niet zelfs.']",7
8,705,8_daags_tabletten_tablet_dgs,"['daags', 'tabletten', 'tablet', 'dgs', 'prednisolon', 'prednison', 'omeprazol', 'gebruik', 'azathioprine', 'gram']","['Mezavant gebruik ik 3x daags 2 tabletten.', 'ik sik nu 1 x daags 3 tabletten van 3 mg. Met vriendelijke groet,    ', 'Op het recept staat nog steeds 1 x daags 2 tabletten ipv 1 x daags 3 tabletten.']",8
6,670,6_pijn_gewrichten_benen_rug,"['pijn', 'gewrichten', 'benen', 'rug', 'pijnlijk', 'last', 'handen', 'onderbuik', 'pijnlijke', 'linker']","['Geen pijn meer in.', 'Ik heb omzettend veel pijn gehad.', 'Zijn hier andere pijn stilling voor ?']",9
19,645,19_dun_ontlasting_komt_waterig,"['dun', 'ontlasting', 'komt', 'waterig', 'soms', 'ontsteking', 'lucht', 'blijft', 'hard', 'stukjes']","['De ontlasting is ook dun!', 'De ontlasting is daarbei ook nog erg.dun.', 'De ontlasting was ook heel dun.']",10
51,612,51_buik_buikpijn_darmen_darm,"['buik', 'buikpijn', 'darmen', 'darm', 'pijn', 'maag', 'gevoel', 'buikkrampen', 'eten', 'dikke']","['Ik heb veel pijn in mijn buik.', 'Wel nog buikpijn.', 'Af en toe nog wat buikpijn.']",11
57,585,57_mvrgr_groet_hum_vrgr,"['mvrgr', 'groet', 'hum', 'vrgr', 'grt', 'bvd', 'beckers', 'alvast', 'dankjewel', 'bedankt']","['Groet ,  ', 'Gr   groet,  ', 'Groet wil  ']",12
4,583,4_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuis', 'thuistesten', 'ontlastingtest', 'uitvoeren', 'nieuwe']","['Zal de test doen.', 'Wanneer moet ik z’n test doen?', 'Of moet ik de zelf test doen?']",13
37,546,37_huis_buisje_potje_thuis,"['huis', 'buisje', 'potje', 'thuis', 'voorraad', 'liggen', 'zakjes', 'gebruikt', 'klysmas', 'inleveren']","['Hebben wij al in huis.', 'Ik heb nog vezelszakjes thuis liggen.', 'Ik heb nog dat thuis liggen.']",14
5,536,5_toilet_vaker_keer_rennen,"['toilet', 'vaker', 'keer', 'rennen', 'slijm', 'toiletbezoek', 'gaan', 'gemiddeld', 'zit', 'hoef']","['Kan wel iedere dag naar de toilet.', 'Ik ga weer iets minder naar het toilet.', ""Ga zo'n 4 - 6x per dag naar het toilet.""]",15
11,523,11_prima_goed_blij_fijn,"['prima', 'goed', 'blij', 'fijn', 'nieuws', 'gelukkig', 'orde', 'gaat', 'tevreden', 'fantastisch']","['Ja,   is prima!', 'Verder gaat alles prima.', 'Beste  ,  Alles gaat prima.']",16
34,511,34_afspraak_staan_gepland_verzetten,"['afspraak', 'staan', 'gepland', 'verzetten', 'staat', 'datum', 'aanstaande', 'gemaakt', 'telefonische', 'opstaan']","['Kan ik al een afspraak maken voor januari 2018?', 'Op 26 januari heb ik een afspraak bij  .', 'Ik heb op 20 mei een afspraak met  .']",17
7,510,7_calprotectine_calpro_thuistest_waarde,"['calprotectine', 'calpro', 'thuistest', 'waarde', 'test', 'uitslag', 'bekend', 'gedaan', 'gemeten', 'meten']","['En de  Calprotectine.', 'Is dat calprotectine?', 'Calprotectine was 48.']",18
12,496,12_moe_vermoeidheid_slaap_slapen,"['moe', 'vermoeidheid', 'slaap', 'slapen', 'vermoeid', 'wakker', 'energie', 'bed', 'nachten', 'nacht']","['Ik was ook heel moe.', 'Heel erg vermoeid, veel slapen.', 'Ik ben dan ook vaak moe.']",19
46,485,46_proberen_zsm_meld_prima,"['proberen', 'zsm', 'meld', 'prima', 'oke', 'verschijnen', 'ophalen', 'dankjewel', 'meteen', 'mee']","['Zal het zsm doen.', 'Ik zal zsm opnieuw laten prikken.', 'Dat is goed, ik zal ze zsm gaan ophalen.']",20
