Topic,Count,Name,Representation,Representative_Docs
0,3232,0_buikpijn_slijm_toilet_ontlasting,"['buikpijn', 'slijm', 'toilet', 'ontlasting', 'buik', 'darmen', 'diarree', 'last', 'bloed', 'pijn']",
1,830,1_uitslag_uitslagen_bekend_resultaten,"['uitslag', 'uitslagen', 'bekend', 'resultaten', 'hiervan', 'resultaat', 'spiegel', 'daarvan', 'weten', 'benieuwd']",
2,756,2_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'gaan', 'bloedgeprikt', 'bloedafname', 'voren', 'ziekenhuis']",
3,727,3_bereikbaar_bellen_telefonisch_telefoonnummer,"['bereikbaar', 'bellen', 'telefonisch', 'telefoonnummer', 'contact', 'nummer', 'bereiken', 'opnemen', 'telefoon', 'tel']",
4,621,4_ingeleverd_inleveren_prikken_bloed,"['ingeleverd', 'inleveren', 'prikken', 'bloed', 'ontlasting', 'laten', 'bloedprikken', 'geprikt', 'leveren', 'brengen']",
5,617,5_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'injectie', 'adalimumab', 'gebruik', 'gespoten', 'hyrimoz', 'spiegel']",
6,908,6_alternatief_mee_bekend_optie,"['alternatief', 'mee', 'bekend', 'optie', 'klopt', 'nodig', 'gebruiken', 'geregeld', 'weten', 'mogelijk']",
7,509,7_calprotectine_calpro_waarde_thuistest,"['calprotectine', 'calpro', 'waarde', 'thuistest', 'test', 'uitslag', 'crp', 'gedaan', 'bekend', 'gemeten']",
8,556,8_crohn_ziekte_colitis_ulcerosa,"['crohn', 'ziekte', 'colitis', 'ulcerosa', 'colitus', 'ibd', 'reuma', 'ontstekingen', 'klachten', 'collitis']",
9,511,9_infuus_infusiecentrum_infusen_infusie,"['infuus', 'infusiecentrum', 'infusen', 'infusie', 'volgende', 'infuuscentrum', 'gepland', 'krijg', 'toegediend', 'remsima']",
10,775,10_medicatie_medicijn_medicijnen_bijwerkingen,"['medicatie', 'medicijn', 'medicijnen', 'bijwerkingen', 'medicijngebruik', 'starten', 'gebruik', 'gebruiken', 'middel', 'vraag']",
11,415,11_prednison_prednisolon_afgebouwd_afbouwen,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwen', 'afbouwschema', 'gestart', 'gebruik', 'starten', 'stootkuur', 'slikken']",
12,466,12_test_thuistest_testen_zelftest,"['test', 'thuistest', 'testen', 'zelftest', 'gedaan', 'thuis', 'thuistesten', 'zelftesten', 'uitvoeren', 'nieuwe']",
