Topic,Count,Name,Representation,Representative_Docs
0,2898,0_bloed_prikken_ontlasting_laten,"['bloed', 'prikken', 'ontlasting', 'laten', 'bloedprikken', 'ingeleverd', 'geprikt', 'bloeduitslagen', 'inleveren', 'slijm']",
1,1919,1_buikpijn_darmen_diarree_buik,"['buikpijn', 'darmen', 'diarree', 'buik', 'darm', 'last', 'darmonderzoek', 'veel', 'pijn', 'sinds']",
2,1362,2_huisarts_arts_dokter_ziekenhuis,"['huisarts', 'arts', 'dokter', 'ziekenhuis', 'mdl', 'bij', 'contact', 'afspraak', 'met', 'geweest']",
3,922,3_apotheek_locatie_recept_sturen,"['apotheek', 'locatie', 'recept', 'sturen', 'naar', 'faxen', 'nieuw', 'zorginstelling', 'ziekenhuis', 'ophalen']",
4,930,4_medicatie_medicijnen_medicijn_bijwerkingen,"['medicatie', 'medicijnen', 'medicijn', 'bijwerkingen', 'zetpillen', 'gebruik', 'of', 'andere', 'gebruiken', 'dit']",
5,633,5_pijn_gewrichten_benen_last,"['pijn', 'gewrichten', 'benen', 'last', 'rug', 'pijnlijk', 'handen', 'veel', 'onderbuik', 'mijn']",
6,543,6_toilet_wc_naar_vaker,"['toilet', 'wc', 'naar', 'vaker', 'keer', 'vaak', 'moet', 'dag', 'per', 'veel']",
7,551,7_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuis', 'doen', 'thuistesten', 'nieuwe', 'ontlastingtest']",
8,500,8_calprotectine_calpro_waarde_thuistest,"['calprotectine', 'calpro', 'waarde', 'thuistest', 'test', 'uitslag', 'bekend', 'gedaan', 'gemeten', 'de']",
9,453,9_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'gebruik', 'injectie', 'gespoten', 'weken', 'prik', 'injecties']",
10,336,10_snelle_reactie_bedankt_dank,"['snelle', 'reactie', 'bedankt', 'dank', 'voor', 'dankjewel', 'antwoord', 'uw', 'je', 'beste']",
11,338,11_goed_prima_alles_blij,"['goed', 'prima', 'alles', 'blij', 'nieuws', 'fijn', 'gaat', 'orde', 'heel', 'gelukkig']",
12,365,12_recept_nieuw_herhaalrecept_kunnen,"['recept', 'nieuw', 'herhaalrecept', 'kunnen', 'herhaal', 'uitschrijven', 'zorginstelling', 'sturen', 'krijgen', 'questran']",
13,323,13_klachten_zijn_erger_verergerd,"['klachten', 'zijn', 'erger', 'verergerd', 'toegenomen', 'toenemen', 'hetzelfde', 'verminderen', 'verergeren', 'contact']",
14,275,14_poli_afspraak_polie_op,"['poli', 'afspraak', 'polie', 'op', 'bezoek', 'interne', 'bellen', 'bij', 'geweest', 'gebeld']",
15,449,15_buisje_huis_thuis_potje,"['buisje', 'huis', 'thuis', 'potje', 'heb', 'gebruikt', 'liggen', 'laatste', 'nog', 'keer']",
16,242,16_crohn_ziekte_van_of,"['crohn', 'ziekte', 'van', 'of', 'met', 'combinatie', 'dit', 'verklaring', 'vraag', 'kan']",
17,248,17_zwangerschap_zwanger_bevallen_bevalling,"['zwangerschap', 'zwanger', 'bevallen', 'bevalling', 'borstvoeding', 'zwangerschapstest', 'weken', 'geboren', 'baby', 'miskraam']",
18,254,18_voel_geen_klachten_goed,"['voel', 'geen', 'klachten', 'goed', 'verder', 'probleem', 'prima', 'nergens', 'gaat', 'gelukkig']",
19,263,19_vakantie_vertrek_ga_wij,"['vakantie', 'vertrek', 'ga', 'wij', 'gaan', 'naar', 'augustus', 'reizen', 'week', 'op']",
20,451,20_dun_ontlasting_er_wel,"['dun', 'ontlasting', 'er', 'wel', 'ontsteking', 'is', 'komt', 'stukjes', 'soms', 'maar']",
21,296,21_weken_twee_dagen_infuus,"['weken', 'twee', 'dagen', 'infuus', 'tussen', 'geleden', 'over', 'na', 'pas', 'duurt']",
22,276,22_vraag_vraagje_vragen_nog,"['vraag', 'vraagje', 'vragen', 'nog', 'even', 'vraagjes', 'hallo', 'een', 'daarnaast', 'navragen']",
23,299,23_eten_eet_eetlust_gegeten,"['eten', 'eet', 'eetlust', 'gegeten', 'voeding', 'voedsel', 'probeer', 'iets', 'slik', 'knoflook']",
24,231,24_vaccinatie_vaccin_vaccinaties_vaccineren,"['vaccinatie', 'vaccin', 'vaccinaties', 'vaccineren', 'gevaccineerd', 'astrazeneca', 'pfizer', 'mensen', 'zetten', 'mag']",
25,279,25_moe_vermoeid_slaap_slapen,"['moe', 'vermoeid', 'slaap', 'slapen', 'energie', 'erg', 'vermoeidheid', 'ben', 'voel', 'wakker']",
26,292,26_mg_40_20_prednisolon,"['mg', '40', '20', 'prednisolon', 'prednison', '5mg', '40mg', '20mg', '10', 'per']",
27,396,27_afspraak_staan_uur_maandag,"['afspraak', 'staan', 'uur', 'maandag', 'maart', '30', 'september', 'een', '10', 'gepland']",
28,262,28_week_volgende_vorige_infuus,"['week', 'volgende', 'vorige', 'infuus', 'komende', 'deze', 'donderdag', 'zal', 'ingeleverd', 'later']",
29,192,29_mri_scan_ct_uitslag,"['mri', 'scan', 'ct', 'uitslag', 'zaterdag', 'gemaakt', 'scans', 'datum', 'gehad', 'dunne']",
30,207,30_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'antibioticum', 'gekregen', 'voorgeschreven', 'infectie', 'cz']",
31,260,31_operatie_chirurg_chirurgie_coloscopie,"['operatie', 'chirurg', 'chirurgie', 'coloscopie', 'geopereerd', 'anesthesist', 'anesthesie', 'scopie', 'opereren', 'de']",
32,262,32_formulier_formulieren_toestemmingsformulier_toesturen,"['formulier', 'formulieren', 'toestemmingsformulier', 'toesturen', 'opsturen', 'sturen', 'papieren', 'kunt', 'post', 'mij']",
33,187,33_pentasa_4g_recept_zetpillen,"['pentasa', '4g', 'recept', 'zetpillen', 'pentaza', 'granulaat', 'gram', 'korrels', '2gr', 'herhaalrecept']",
34,206,34_niets_gehoord_niks_ontvangen,"['niets', 'gehoord', 'niks', 'ontvangen', 'heden', 'vernomen', 'tot', 'nog', 'geen', 'hier']",
35,210,35_haar_ze_zij_heeft,"['haar', 'ze', 'zij', 'heeft', 'gebeld', 'aan', 'zou', 'vragen', 'bellen', 'mij']",
36,204,36_wacht_afwachten_wachten_af,"['wacht', 'afwachten', 'wachten', 'af', 'even', 'afwachting', 'dan', 'tot', 'we', 'bericht']",
37,325,37_moet_of_dit_doorgaan,"['moet', 'of', 'dit', 'doorgaan', 'mee', 'gewoon', 'verstandig', 'alsnog', 'hiermee', 'rekening']",
38,398,38_voel_me_echt_lekker,"['voel', 'me', 'echt', 'lekker', 'last', 'ziek', 'slecht', 'niet', 'goed', 'sinds']",
39,293,39_telefoonnummer_bellen_id_nummer,"['telefoonnummer', 'bellen', 'id', 'nummer', 'bereikbaar', 'telefonisch', 'emailadres', 'mij', 'opnemen', 'contact']",
40,176,40_endoscopie_15_gepland_donderdag,"['endoscopie', '15', 'gepland', 'donderdag', 'datum', 'uur', '30', 'staat', 'afdeling', '14']",
41,255,41_gebeld_helaas_gemist_telefoon,"['gebeld', 'helaas', 'gemist', 'telefoon', 'gemiste', 'oproep', 'telefoontje', 'sorry', 'bellen', 'niemand']",
42,159,42_dermatoloog_dermatologie_verwijzing_doorverwijzing,"['dermatoloog', 'dermatologie', 'verwijzing', 'doorverwijzing', 'bij', 'geweest', 'oogarts', 'naar', 'huid', 'verwijsbrief']",
43,138,43_fijne_feestdagen_wensen_jaarwisseling,"['fijne', 'feestdagen', 'wensen', 'jaarwisseling', '2021', 'alvast', 'gewenst', 'wens', 'gezond', 'allereerst']",
44,314,44_afspraak_maken_plannen_inplannen,"['afspraak', 'maken', 'plannen', 'inplannen', 'nieuwe', 'gemaakt', 'gepland', 'een', 'ingepland', 'jaar']",
45,141,45_hoor_graag_het_ik,"['hoor', 'graag', 'het', 'ik', 'lezen', 'prikkelend', 'brandend', 'her', 'persoon', 'voorkeur']",
