Topic,Count,Name,Representation,Frequency (%),Translation,Label,Note for labeling rationale
32,2868,32_vriendelijke_groet_groeten_vriendelijk,"['vriendelijke', 'groet', 'groeten', 'vriendelijk', 'hartelijke', 'geb', 'groetjes', 'afwachting', 'bvd', 'contactpersoon']",5.91,"['kind', 'regards', 'greetings', 'friendly', 'kindly', 'regards_abbrev', 'cheers', 'awaiting', 'thanks_in_advance', 'contact_person']",Non-Medical,Closing remarks
0,1484,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'uitslag', 'laten', 'leveren', 'bloedprikken', 'buisje']",3.06,"['stool sample', 'submitted', 'submit', 'blood', 'blood draw', 'result', 'have done', 'submit', 'blood draw', 'collection tube']",Medical,Stool and blood tests
1,1315,1_bellen_bereikbaar_telefonisch_gebeld,"['bellen', 'bereikbaar', 'telefonisch', 'gebeld', 'contact', 'belafspraak', 'nummer', 'telefonische', 'telefoon', 'opnemen']",2.71,"['call', 'reachable', 'by phone', 'called', 'contact', 'call appointment', 'phone number', 'telephone', 'phone', 'pick up']",Non-Medical,Contact
2,1292,2_recept_apotheek_sturen_nieuw,"['recept', 'apotheek', 'sturen', 'nieuw', 'faxen', 'herhaalrecept', 'herhaal', 'doorsturen', 'ophalen', 'recepten']",2.66,"['prescription', 'pharmacy', 'send', 'location', 'new', 'fax', 'repeat prescription', 'repeat', 'forward', 'collect']",Non-medical,Repeat prescription
3,1086,3_medicatie_medicijnen_medicijn_bijwerkingen,"['medicatie', 'medicijnen', 'medicijn', 'bijwerkingen', 'kuur', 'gebruiken', 'stoppen', 'gebruik', 'voorgeschreven', 'medicijngebruik']",2.24,"['medication', 'medicines', 'medicine', 'side effects', 'treatment course', 'use', 'stop', 'medication use', 'prescribed', 'medication use']",Medical,Medication
78,1017,78_groeten_groet_groetjes_will,"['groeten', 'groet', 'groetjes', 'will', 'merci', 'wijsheid', 'paffen', 'schoonzus', 'groetje', 'geb']",2.1,"['greetings', 'regards', 'cheers', 'will', 'merci', 'wisdom', 'paffen', 'sister_in_law', 'greeting_alt', 'gb']",Non-Medical,Greetings
4,1004,4_afspraak_staan_afspraken_gepland,"['afspraak', 'staan', 'afspraken', 'gepland', 'verzetten', 'plannen', 'nieuwe', 'agenda', 'gemaakt', 'inplannen']",2.07,"['appointment', 'listed', 'appointments', 'scheduled', 'reschedule', 'schedule', 'new', 'agenda', 'made', 'plan']",Non-Medical,Appointments
6,977,6_gaat_beter_goed_slechter,"['gaat', 'beter', 'goed', 'slechter', 'ging', 'gelukkig', 'helemaal', 'rustig', 'komt', 'gebeurd']",2.01,"['goes', 'better', 'well', 'worse', 'went', 'fortunately', 'completely', 'calm', 'comes', 'happened']",Medical,Likely health update
5,946,5_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'medische', 'afspraak', 'behandelend', 'huisartsenpost', 'bespreken', 'opnemen']",1.95,"['general practitioner', 'doctor', 'physician', 'contact', 'medical', 'appointment', 'treating physician', 'after-hours clinic', 'discuss', 'contact']",Medical,Doctor visit
150,830,150_groetjes_liefs_smart_lachen,"['groetjes', 'liefs', 'smart', 'lachen', 'boden', 'typ', 'hetvolgende', 'miranda', 'vergelijk', 'beangstigend']",1.71,"['greetings', 'love', 'smart', 'laughing', 'boden', 'type', 'the_following', 'miranda', 'compare', 'frightening']",Non-Medical,Greetings
9,795,9_mogelijk_bedoeling_mee_optie,"['mogelijk', 'bedoeling', 'mee', 'optie', 'klopt', 'geregeld', 'reden', 'oorzaak', 'komt', 'mogelijkheden']",1.64,"['possible', 'intention', 'with', 'option', 'correct', 'arranged', 'reason', 'cause', 'comes', 'problem']",Medical,Asking for advice
8,693,8_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'laat']",1.43,"['blood draw', 'blood', 'have done', 'blood draw', 'blood drawn', 'blood drawn', 'hospital', 'go', 'before', 'have done']",Medical,Blood tests
11,652,11_hoi_prima_fijn_hallo,"['hoi', 'prima', 'fijn', 'hallo', 'bedankt', 'oke', 'bericht', 'dankjewel', 'dank', 'groetjes']",1.34,"['hi', 'fine', 'nice', 'hello', 'thanks', 'okay', 'message', 'thank you', 'thanks', 'greetings']",Non-Medical,Greetings
7,642,7_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gebruik', 'gespoten', 'spiegel', 'prik', 'injecties']",1.32,"['humira', 'pen', 'inject', 'inject', 'injection', 'use', 'injected', 'drug level', 'shot', 'injections']",Medical,Injection
54,638,54_hoor_graag_groetjes_groet,"['hoor', 'graag', 'groetjes', 'groet', 'vriendelijke', 'hoop', 'horen', 'hoogte', 'groeten', 'vernemen']",1.32,"['hear', 'please', 'greetings', 'regards', 'kind', 'hope', 'hear_back', 'updated', 'greetings', 'let_me_know']",Non-Medical,Greetings
14,638,14_mail_ontvangen_bericht_sturen,"['mail', 'ontvangen', 'bericht', 'sturen', 'post', 'gestuurd', 'email', 'verstuurd', 'opsturen', 'versturen']",1.32,"['mail', 'receive', 'message', 'send', 'post', 'sent', 'email', 'sent', 'send', 'send']",Non-Medical,Mail communication
40,598,40_bedankt_dank_alvast_dankjewel,"['bedankt', 'dank', 'alvast', 'dankjewel', 'hartelijk', 'moeite', 'hulp', 'voorbaat', 'oke', 'hartstikke']",1.23,"['thanks', 'thanks', 'already', 'thank you', 'thanks', 'effort', 'help', 'in advance', 'okay', 'thank you very much']",Non-Medical,Social remarks
