Topic,Count,Name,Representation,Representative_Docs
-1,8722,-1_bedankt_dank_hoor_reactie,"['bedankt', 'dank', 'hoor', 'reactie', 'graag', 'hoor graag', 'alvast', 'snelle', 'vraag', 'weet']","['Alvast bedankt voor jullie reactie.', 'Alvast bedankt voor de reactie.', 'Alvast bedankt voor jullie reactie']"
0,5968,0_bloed_ontlasting_prikken_laten,"['bloed', 'ontlasting', 'prikken', 'laten', 'bloed laten', 'laten prikken', 'test', 'uitslag', 'bloed ontlasting', 'bekend']","['ik heb ongeveer 2 weken  geleden bloed laten prikken.', 'Ben op  in kerkrade geweest voor bloed te laten prikken.', 'Ik heb 2 april weer bloed laten prikken in helmond.']"
1,5784,1_afspraak_contact_telefonisch_vandaag,"['afspraak', 'contact', 'telefonisch', 'vandaag', 'morgen', 'poli', 'vakantie', 'bellen', 'uur', 'gepland']","['9 Mei afspraak bij Dr,', 'afspraak is inmiddels binnen.', 'Maandag afspraak met D’r.']"
2,4690,2_pijn_last_buikpijn_klachten,"['pijn', 'last', 'buikpijn', 'klachten', 'toilet', 'crohn', 'ontlasting', 'keer', 'buik', 'merk']","['Verder eigenlijk geen last van buikpijn gehad, nu een beetje maar meer eigenlijk een beetje pijn aan de onderbuik waar de darm loopt dan echte buikpijn.', 'Geen crohn pijn.', 'Geen pijn meer in.']"
3,4361,3_medicatie_gebruik_tabletten_humira,"['medicatie', 'gebruik', 'tabletten', 'humira', 'antibiotica', 'gebruiken', 'medicijnen', 'mee', 'apotheek', 'medicijn']","['Ja ik gebruik 2x2 mezant per dag.', 'Mijn medicatie is bijna op.', 'Mijn medicatie is bijna op.']"
4,3472,4_voel_goed_beter_gaat,"['voel', 'goed', 'beter', 'gaat', 'vorige', 'jaar', 'laatste', 'maanden', 'gelukkig', 'maand']","['Dus dat is goed.', 'Ik voel mij redelijk goed !', 'En het gaat gelukkig weer beter.']"
5,2244,5_recept_apotheek_nieuw_nieuw recept,"['recept', 'apotheek', 'nieuw', 'nieuw recept', 'sturen', 'graag', 'herhaalrecept', 'zorginstelling', 'recept apotheek', 'sturen apotheek']","['En zo ja, zou hier dan een nieuw recept voor kunnen worden gestuurd naar mijn apotheek ([ZIEKENHUIS] )?', 'Willen jullie een nieuw recept voor de B12-spuiten naar de apotheek sturen.', 'een nieuw recept naar de apotheek sturen.']"
6,2148,6_ontvangen_formulieren_brief_formulier,"['ontvangen', 'formulieren', 'brief', 'formulier', 'mail', 'app', 'bericht', 'potje', 'gehoord', 'foto']","['Ik heb niets ontvangen namelijk.', 'Heb nog niets ontvangen.', 'Ik heb het formulier voor de calprotectine ontvangen.']"
7,1485,7_huisarts_arts_dokter_dermatoloog,"['huisarts', 'arts', 'dokter', 'dermatoloog', 'ziekenhuis', 'mdl', 'mdl arts', 'afspraak', 'huid', 'dermatologie']","['Mijn eigen arts was er niet.', 'Ik ben net bij de huisarts geweest.', ""Volgens de huisarts heb ik ze gehad in '89.""]"
8,1400,8_advies_probleem_graag advies_zorgen,"['advies', 'probleem', 'graag advies', 'zorgen', 'zitten', 'idee', 'helpen', 'graag', 'mis', 'adviseren']","['Graag jullie advies.', 'Wil graag advies', 'Graag jullie advies.']"
9,638,9_mri_onderzoek_scan_mri scan,"['mri', 'onderzoek', 'scan', 'mri scan', 'uitslag mri', 'uitslag', 'graag', 'darm', 'mee', 'dunne darm']","['agelopen zaterdag  ben ik voor de MRI scan geweest!', '/,  ik heb a.s. donderdag 12 aug. een Mri scan.', 'Zondag  om 10.30u heb ik de MRI scan.']"
10,623,10_corona_vaccin_vaccinatie_oproep,"['corona', 'vaccin', 'vaccinatie', 'oproep', 'getest', 'positief', 'covid', 'positief getest', 'virus', 'coronavirus']","['Ik had een vraag over de vaccinatie van corona.', 'corona vaccinatie.', 'Hoe is dat voor het corona vaccin?']"
11,566,11_eten_eet_energie_gewicht,"['eten', 'eet', 'energie', 'gewicht', 'drinken', 'drink', 'eetlust', 'kilo', 'maag', 'probeer']","['vandaag niet meer eten.', 'Wat mag ik wel/ niet eten?', 'Vandaag dus vezelarm eten.']"
12,208,12_zwanger_zwangerschap_borstvoeding_weet,"['zwanger', 'zwangerschap', 'borstvoeding', 'weet', 'baby', 'gynaecoloog', 'positieve', 'verloskundige', 'medicijngebruik', 'ivm zwangerschap']","['Op 29 maart ben ik 26 weken zwanger.', 'Ik ben dus ongeveer 4 weken zwanger :) Wat moet ik nu doen?', 'hoe moeten het nu verder om dat ik zwanger ben']"
13,127,13_werk_werken_werk werk_ivm werk,"['werk', 'werken', 'werk werk', 'ivm werk', 'gesloten', 'bedrijfsarts', 'gaan', 'hierdoor', 'onderwijs', 'gaat werk']","['Ben nu op mijn werk.', 'Wel ben ik weer meer aan het werk in mijn horecazaak.', 'Ik ben dan op mijn werk.']"
14,101,14_operatie_chirurg_wachtlijst_plaatsvinden,"['operatie', 'chirurg', 'wachtlijst', 'plaatsvinden', 'gepland', 'gaat', 'chirurgie', 'planning operatie', 'operatie goed', 'operatie gaat']","['De operatie wordt neem ik aan gewoon gepland?', 'of  afgelopen maandag mijn operatie gehad.', 'Nu hoor ik net dat mijn operatie pas over 3 weken.']"
