Topic,Count,Name,Representation,Representative_Docs
-1,10369,-1_last_medicatie_pijn_graag,"['last', 'medicatie', 'pijn', 'graag', 'gaat', 'keer', 'medicijnen', 'krijg', 'beste', 'goed']","['Beste [PERSOON], Graag zou ik voor as vrijdag de volgende medicatie in de apotheek hebben klaar liggen, dan moet ik in het ziekenhuis zijn.', 'NB Het zou kunnen dat ik de laatste keer in het [ZIEKENHUIS] [LOCATIE] heb laten prikken.', 'Heb een beetje buikpijn na het eten en last van diarree.']"
0,1439,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'leveren', 'uitslag', 'laten', 'buisje', 'bloedprikken']","['Beste,  Donderdag 20-1 heb ik ontlasting ingeleverd en bloed laten prikken.', 'Beste [PERSOON],  Op 11 juni heb ik bloed laten prikken en heb ik ontlasting ingeleverd.', 'Hallo,  Ik heb maandag 19-09 bloed laten prikken en ontlasting ingeleverd.']"
1,1148,1_bellen_bereikbaar_gebeld_telefonisch,"['bellen', 'bereikbaar', 'gebeld', 'telefonisch', 'belafspraak', 'contact', 'nummer', 'telefoon', 'telefonische', 'telefoonnummer']","['ik ben telefonisch bereikbaar.', 'Verder ben ik telefonisch goed bereikbaar op [TELEFOONNUMMER].', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer [TELEFOONNUMMER] Met vriendelijke groet, [PERSOON]']"
2,1143,2_apotheek_recept_locatie_sturen,"['apotheek', 'recept', 'locatie', 'sturen', 'nieuw', 'faxen', 'zorginstelling', 'ophalen', 'telefoonnummer', 'fax']","['U mag het recept sturen naar [APOTHEEK] in de [LOCATIE].', 'Recept mag naar [APOTHEEK].', 'Er was echter geen recept bij de apotheek.']"
3,810,3_mail_ontvangen_ophalen_post,"['mail', 'ontvangen', 'ophalen', 'post', 'bericht', 'gestuurd', 'verstuurd', 'sturen', 'email', 'versturen']","['Ik heb nog geen bericht ontvangen.', 'Is het mogelijk om deze naar mij toe te sturen via de mail?', 'Is het misschien mogelijk dat jullie deze naar mij via de mail sturen?']"
4,734,4_afspraak_staan_verzetten_afspraken,"['afspraak', 'staan', 'verzetten', 'afspraken', 'plannen', 'gepland', 'annuleren', 'agenda', 'inplannen', 'nieuwe']","['Wanneer zou de afspraak dan zijn?', 'Ik zal een afspraak maken.', 'Ik heb giser een afspraak met [PERSOON] gehad.']"
5,602,5_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gespoten', 'gebruik', 'spiegel', 'prik', 'injecties']","['Dit alles had ik bij de humira niet.', 'Kan dit te maken hebben met de Humira?', 'Mijn eigen prikschema met Humira is om de twee weken op de donderdag en wel op op 8 april en 20 mei.']"
6,569,6_prikken_bloed_bloedprikken_laten,"['prikken', 'bloed', 'bloedprikken', 'laten', 'geprikt', 'bloedgeprikt', 'gaan', 'voren', 'ziekenhuis', 'laat']","['- Ik heb twee weken geleden bloed laten prikken.', 'Een paar weken geleden (+-3-4) heb ik bloed laten prikken.', '[PERSOON],  Ik heb afgelopen donderdag bloed laten prikken.']"
7,567,7_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'huisartsenpost', 'ggd', 'medische', 'doktersverklaring', 'afspraak', 'behandelend']","['Zou ik naar de huisarts moeten?', 'Ja bij mijn huisarts.', 'De huisarts vroeg zich af of dit kan door [PERSOON].']"
8,460,8_bloeduitslagen_bloeduitslag_bloedwaarden_bloedwaardes,"['bloeduitslagen', 'bloeduitslag', 'bloedwaarden', 'bloedwaardes', 'uitslagen', 'bekend', 'bloed', 'uitslag', 'bloedonderzoek', 'benieuwd']","['Zijn inmiddels alle bloeduitslagen bekend?', '[PERSOON], Zijn de bloeduitslagen al bekend?', 'Zijn de bloeduitslagen al bekend.']"
