Topic,Count,Name,Representation,Representative_Docs
0,1450,0_ontlasting_ingeleverd_inleveren_bloed,"['ontlasting', 'ingeleverd', 'inleveren', 'bloed', 'prikken', 'leveren', 'uitslag', 'laten', 'buisje', 'bloedprikken']",
1,1310,1_bellen_bereikbaar_telefonisch_gebeld,"['bellen', 'bereikbaar', 'telefonisch', 'gebeld', 'contact', 'belafspraak', 'telefoon', 'nummer', 'telefonische', 'telefoonnummer']",
2,1332,2_apotheek_recept_locatie_sturen,"['apotheek', 'recept', 'locatie', 'sturen', 'nieuw', 'faxen', 'zorginstelling', 'herhaalrecept', 'recepten', 'ophalen']",
3,974,3_mail_ontvangen_gestuurd_bericht,"['mail', 'ontvangen', 'gestuurd', 'bericht', 'post', 'sturen', 'ophalen', 'verstuurd', 'email', 'opsturen']",
4,899,4_afspraak_staan_verzetten_gepland,"['afspraak', 'staan', 'verzetten', 'gepland', 'afspraken', 'plannen', 'agenda', 'annuleren', 'gemaakt', 'nieuwe']",
5,602,5_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'injectie', 'gebruik', 'gespoten', 'spiegel', 'prik', 'injecties']",
6,671,6_prikken_bloed_bloedprikken_laten,"['prikken', 'bloed', 'bloedprikken', 'laten', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'laat']",
7,861,7_huisarts_dokter_arts_contact,"['huisarts', 'dokter', 'arts', 'contact', 'medische', 'afspraak', 'bespreken', 'behandelend', 'huisartsenpost', 'behandeling']",
8,522,8_bloeduitslagen_bloeduitslag_bloedwaarden_bloedwaardes,"['bloeduitslagen', 'bloeduitslag', 'bloedwaarden', 'bloedwaardes', 'uitslagen', 'bekend', 'bloed', 'bloedonderzoek', 'uitslag', 'benieuwd']",
9,496,9_uitslag_resultaten_hiervan_bekend,"['uitslag', 'resultaten', 'hiervan', 'bekend', 'daarvan', 'resultaat', 'benieuwd', 'weten', 'wachten', 'duurt']",
10,474,10_infuus_entyvio_infuuscentrum_volgende,"['infuus', 'entyvio', 'infuuscentrum', 'volgende', 'gepland', 'toegediend', 'krijg', 'dagcentrum', 'aanstaande', 'staat']",
11,710,11_medicatie_medicijnen_medicijn_stoppen,"['medicatie', 'medicijnen', 'medicijn', 'stoppen', 'gebruiken', 'starten', 'kuur', 'medicijngebruik', 'gebruik', 'slik']",
12,507,12_ontlasting_dunne_dun_waterige,"['ontlasting', 'dunne', 'dun', 'waterige', 'stoelgang', 'vaste', 'aandrang', 'hard', 'soms', 'waterdun']",
13,447,13_test_thuistest_testen_thuistesten,"['test', 'thuistest', 'testen', 'thuistesten', 'zelftest', 'gedaan', 'thuis', 'negatief', 'uitvoeren', 'nieuwe']",
14,404,14_prednison_prednisolon_afgebouwd_afbouwschema,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwschema', 'afbouwen', 'starten', 'gestart', 'slikken', 'gebruik', 'kuur']",
15,438,15_formulieren_formulier_potje_papieren,"['formulieren', 'formulier', 'potje', 'papieren', 'toestemmingsformulier', 'toestemming', 'toesturen', 'opsturen', 'potjes', 'pdf']",
16,414,16_klachten_verergerd_verminderd_erger,"['klachten', 'verergerd', 'verminderd', 'erger', 'toenemen', 'verergeren', 'contact', 'verminderen', 'toename', 'verbeterd']",
17,370,17_calprotectine_waarde_thuistest_test,"['calprotectine', 'waarde', 'thuistest', 'test', 'uitslag', 'bekend', 'gemeten', 'gedaan', 'gestegen', 'calproteine']",
18,350,18_crohn_ziekte_bechterew_reuma,"['crohn', 'ziekte', 'bechterew', 'reuma', 'rustig', 'combinatie', 'ontstekingen', 'gerelateerd', 'medicatie', 'verklaring']",
19,352,19_poli_afspraak_polie_poliafspraak,"['poli', 'afspraak', 'polie', 'poliafspraak', 'interne', 'bezoek', 'polibezoek', 'plannen', 'datum', 'bellen']",
