Topic,Count,Name,Representation,Representative_Docs
0,2903,0_bloed_prikken_bloedprikken_ontlasting,"['bloed', 'prikken', 'bloedprikken', 'ontlasting', 'laten', 'bloeduitslagen', 'geprikt', 'ingeleverd', 'inleveren', 'slijm']",
1,2208,1_medicatie_prednisolon_tabletten_medicijnen,"['medicatie', 'prednisolon', 'tabletten', 'medicijnen', 'medicijn', 'zetpillen', 'gebruik', 'prednison', 'dosering', 'cortiment']",
2,1235,2_arts_huisarts_dokter_mdl,"['arts', 'huisarts', 'dokter', 'mdl', 'ziekenhuis', 'verpleegkundige', 'contact', 'medische', 'afspraak', 'behandeling']",
3,608,3_pijn_gewrichten_benen_pijnlijk,"['pijn', 'gewrichten', 'benen', 'pijnlijk', 'rug', 'handen', 'linker', 'onderrug', 'last', 'ribben']",
4,545,4_test_thuistest_testen_zelftest,"['test', 'thuistest', 'testen', 'zelftest', 'gedaan', 'thuis', 'thuistesten', 'ontlastingtest', 'zelftesten', 'uitvoeren']",
5,450,5_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'gespoten', 'injectie', 'gebruik', 'injecties', 'prik', 'gestart']",
6,439,6_toilet_vaker_rennen_toiletbezoek,"['toilet', 'vaker', 'rennen', 'toiletbezoek', 'keer', 'hoef', 'gemiddeld', 'dringend', 'plassen', 'toiletbezoeken']",
7,506,7_telefoonnummer_bellen_telefonisch_nummer,"['telefoonnummer', 'bellen', 'telefonisch', 'nummer', 'bereikbaar', 'contact', 'opnemen', 'telefoon', 'bereiken', 'tel']",
8,395,8_recept_nieuw_herhaalrecept_questran,"['recept', 'nieuw', 'herhaalrecept', 'questran', 'uitschrijven', 'zorginstelling', 'salofalk', 'herhaal', 'originele', 'gefaxt']",
9,505,9_dun_waterig_ontlasting_soms,"['dun', 'waterig', 'ontlasting', 'soms', 'stukjes', 'vocht', 'ophouden', 'hard', 'lucht', 'zacht']",
10,326,10_klachten_verergerd_verergeren_erger,"['klachten', 'verergerd', 'verergeren', 'erger', 'toenemen', 'toegenomen', 'verminderen', 'dezelfde', 'worse', 'verbeterd']",
11,308,11_prima_blij_goed_fijn,"['prima', 'blij', 'goed', 'fijn', 'orde', 'tevreden', 'gaat', 'gelukkig', 'horen', 'ging']",
12,272,12_poli_polie_afspraak_bezoek,"['poli', 'polie', 'afspraak', 'bezoek', 'interne', 'bellen', 'gebeld', 'gesloten', 'telefonisch', 'komen']",
13,332,13_darmonderzoek_darm_colonscopie_colonoscopie,"['darmonderzoek', 'darm', 'colonscopie', 'colonoscopie', 'gastroscopie', 'maagonderzoek', 'dikke', 'darmen', 'onderzoek', 'gepland']",
14,596,14_buik_buikpijn_darmen_darm,"['buik', 'buikpijn', 'darmen', 'darm', 'maag', 'buikkrampen', 'gevoel', 'pijn', 'dikke', 'eten']",
15,437,15_afspraak_staan_gepland_verzetten,"['afspraak', 'staan', 'gepland', 'verzetten', 'aanstaande', 'staat', 'gemaakt', 'opstaan', 'vervroegd', 'controle']",
16,243,16_crohn_ziekte_verklaring_combinatie,"['crohn', 'ziekte', 'verklaring', 'combinatie', 'gerelateerd', 'gerelateerde', 'voeding', 'ontstekingen', 'gezegd', 'actief']",
