Topic,Count,Name,Representation,Representative_Docs
0,2898,0_bloed_prikken_bloedprikken_ontlasting,"['bloed', 'prikken', 'bloedprikken', 'ontlasting', 'laten', 'bloeduitslagen', 'geprikt', 'ingeleverd', 'inleveren', 'slijm']",
1,1919,1_buikpijn_darmen_diarree_buik,"['buikpijn', 'darmen', 'diarree', 'buik', 'darm', 'darmonderzoek', 'maag', 'last', 'diaree', 'pijn']",
2,1362,2_huisarts_arts_dokter_mdl,"['huisarts', 'arts', 'dokter', 'mdl', 'ziekenhuis', 'verpleegkundige', 'contact', 'medische', 'behandeling', 'afspraak']",
3,922,3_apotheek_locatie_recept_sturen,"['apotheek', 'locatie', 'recept', 'sturen', 'faxen', 'zorginstelling', 'doorsturen', 'ophalen', 'nieuw', 'recepten']",
4,930,4_medicatie_medicijn_medicijnen_bijwerkingen,"['medicatie', 'medicijn', 'medicijnen', 'bijwerkingen', 'zetpillen', 'gebruik', 'dosering', 'bijwerking', 'gebruiken', 'medicijngebruik']",
5,633,5_pijn_gewrichten_benen_rug,"['pijn', 'gewrichten', 'benen', 'rug', 'pijnlijk', 'handen', 'onderbuik', 'onderrug', 'linker', 'last']",
6,543,6_toilet_vaker_rennen_keer,"['toilet', 'vaker', 'rennen', 'keer', 'toiletbezoek', 'slijm', 'gemiddeld', 'nacht', 'gaan', 'buikpijn']",
7,551,7_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuis', 'thuistesten', 'ontlastingtest', 'zelftesten', 'uitvoeren']",
8,500,8_calprotectine_calpro_waarde_thuistest,"['calprotectine', 'calpro', 'waarde', 'thuistest', 'test', 'uitslag', 'bekend', 'gedaan', 'gemeten', 'meten']",
9,453,9_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'gespoten', 'injectie', 'gebruik', 'injecties', 'prik', 'wekelijkse']",
10,336,10_snelle_reactie_bedankt_dank,"['snelle', 'reactie', 'bedankt', 'dank', 'dankjewel', 'antwoord', 'reageren', 'handelen', 'hulp', 'hartelijk']",
11,338,11_goed_prima_blij_nieuws,"['goed', 'prima', 'blij', 'nieuws', 'fijn', 'orde', 'gaat', 'gelukkig', 'tevreden', 'horen']",
12,365,12_recept_nieuw_herhaalrecept_uitschrijven,"['recept', 'nieuw', 'herhaalrecept', 'uitschrijven', 'herhaal', 'zorginstelling', 'questran', 'originele', 'gefaxt', 'vermelden']",
13,323,13_klachten_verergerd_erger_toegenomen,"['klachten', 'verergerd', 'erger', 'toegenomen', 'toenemen', 'verergeren', 'verminderen', 'dezelfde', 'worse', 'verbeterd']",
14,275,14_poli_polie_afspraak_bezoek,"['poli', 'polie', 'afspraak', 'bezoek', 'interne', 'bellen', 'gebeld', 'gesloten', 'telefonisch', 'komen']",
15,449,15_buisje_huis_potje_thuis,"['buisje', 'huis', 'potje', 'thuis', 'gebruikt', 'liggen', 'zakjes', 'stuks', 'laatste', 'begonnen']",
16,242,16_crohn_ziekte_combinatie_verklaring,"['crohn', 'ziekte', 'combinatie', 'verklaring', 'gerelateerd', 'voeding', 'ontstekingen', 'gezegd', 'actief', 'vraag']",
17,248,17_zwangerschap_zwanger_bevallen_bevalling,"['zwangerschap', 'zwanger', 'bevallen', 'bevalling', 'borstvoeding', 'geboren', 'baby', 'miskraam', 'dochter', 'kinderwens']",
18,254,18_voel_klachten_probleem_prima,"['voel', 'klachten', 'probleem', 'prima', 'goed', 'gelukkig', 'gaat', 'rest', 'last', 'ziek']",
