Topic,Count,Name,Representation,Representative_Docs
-1,15360,-1_afspraak_graag_medicatie_poli,"['afspraak', 'graag', 'medicatie', 'poli', 'arts', 'dokter', 'contact', 'huisarts', 'hallo', 'ziekenhuis']","['Afspraak dus voor december 2015?', 'Omdat ik geen reactie kreeg via IBD-coach, heb ik hiervoor vrijdag naar de poli gebeld.', 'Ik zal voor volgende week een afspraak maken bij de huisarts']"
0,2965,0_slijm_buikpijn_toilet_ontlasting,"['slijm', 'buikpijn', 'toilet', 'ontlasting', 'buik', 'darmen', 'diarree', 'bloed', 'last', 'soms']","['Beste,  Sinds een week ongeveer heb ik last van slijm in mijn ontlasting en een beetje bloed.', 'Ga niet vaker naar toilet en er zit ook geen bloed of slijm bij, maar ik heb dag en nacht buikpijn.', 'Er zit nu geen bloed en slijm meer bij de ontlasting.Wel moet ik iedere keer na het eten naar het toilet.']"
1,794,1_uitslag_uitslagen_resultaten_bekend,"['uitslag', 'uitslagen', 'resultaten', 'bekend', 'hiervan', 'resultaat', 'daarvan', 'benieuwd', 'spiegel', 'weten']","['Hi   Zijn de uitslagen van 17 en 22 mei al bekend?', 'Zijn er al uitslagen bekend?', 'Graag zou ik willen weten of de uitslag al binnen is en zo ja wat de uitslagen hier van zijn.']"
2,623,2_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'gaan', 'voren', 'ziekenhuis', 'bloedgeprikt', 'bloedafname']","['Maar ik heb afgelopen vrijdag bloed laten prikken.', 'Moet ik misschien bloed laten prikken?', 'Moet ik dan alsnog ook bloed laten prikken?']"
3,590,3_bereikbaar_bellen_telefonisch_telefoonnummer,"['bereikbaar', 'bellen', 'telefonisch', 'telefoonnummer', 'contact', 'nummer', 'bereiken', 'telefoon', 'opnemen', 'mogelijk']","['Ik ben nu goed telefonisch bereikbaar op [TELEFOONNUMMER]  Groet, [PERSOON]', 'Mocht U toch nog telefonisch contact met mij willen hebben dan ben ik gewoon bereikbaar onder nummer [TELEFOONNUMMER] Met vriendelijke groet, [PERSOON]', 'Verder ben ik telefonisch goed bereikbaar op [TELEFOONNUMMER].']"
4,545,4_ingeleverd_inleveren_prikken_ontlasting,"['ingeleverd', 'inleveren', 'prikken', 'ontlasting', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'leveren', 'afgegeven']","['Hi [PERSOON],   Nee, op dinsdag 17 mei heb ik bloed laten prikken in [PERSOON] en ontlasting ingeleverd.', 'Op 22 november heb ik ontlasting ingeleverd en bloed laten prikken.', 'Maandag 2 mei heb ik bloed laten prikken en ontlasting ingeleverd.']"
5,536,5_humira_spuiten_spuit_zetten,"['humira', 'spuiten', 'spuit', 'zetten', 'adalimumab', 'gespoten', 'injectie', 'gebruik', 'spiegel', 'prik']","['Dit alles had ik bij de humira niet.', 'Ik kan elke week humira niet aan.', 'Kan dit te maken hebben met de Humira?']"
6,530,6_mee_alternatief_bekend_optie,"['mee', 'alternatief', 'bekend', 'optie', 'klopt', 'rekening', 'gebruiken', 'mogelijk', 'probleem', 'nodig']","['Is het mogelijk op nog wat prikken mee te nemen?', 'Of zijn er nog andere zaken waar ik rekening mee moet houden?', 'Is er geen beter alternatief?']"
7,467,7_calprotectine_calpro_waarde_thuistest,"['calprotectine', 'calpro', 'waarde', 'thuistest', 'test', 'uitslag', 'gedaan', 'bekend', 'gemeten', 'bepaling']","['Calprotectine was 48.', 'En de  Calprotectine.', 'En de calprotectine?']"
8,456,8_crohn_ziekte_colitis_ulcerosa,"['crohn', 'ziekte', 'colitis', 'ulcerosa', 'colitus', 'reuma', 'ibd', 'collitis', 'rustig', 'vraag']","['Zou het kunnen dat dit te maken heeft met Crohn?', 'Kan dit iets met de crohn te maken hebben en is hier iets aan te doen?', 'Kan ik dit gewoon nemen of doet dit ook iets aan de crohn.']"
